	chr	start	end	value	area	cluster	indexStart	indexEnd	L	clusterL	p.value	fwer	p.valueArea	fwerArea
Block_193	8	72518106	74499313	0.00619158850984901	1.20735975942056	112	272156	272350	195	2217	0.00039702868852459	0.052	0.0321007757611241	0.584
Block_194	3	18988245	27405033	0.00540809432595385	2.9528195019708	38	182891	183436	546	3566	0.000598287470725995	0.054	0.00592798594847775	0.284
Block_195	5	70681227	74722269	0.00554467741132515	2.67807918967005	71	220527	221009	483	2650	0.000558035714285714	0.054	0.00721604215456674	0.318
Block_196	14	33849583	35335417	0.00626090502832089	1.03931023470127	172	84253	84418	166	1895	0.00039702868852459	0.054	0.040857362412178	0.636
Block_197	14	23133917	27897363	0.00561196431495462	2.47487626289499	172	83406	83846	441	1895	0.000578161592505855	0.058	0.0084931206088993	0.342
Block_198	7	33282631	39124258.5	0.00518745844948326	3.50672191185068	89	253331	254006	676	6160	0.000640368852459016	0.06	0.0040800644028103	0.244
Block_199	21	30359170	34821771	0.00537973751369712	2.96961510756081	218	172251	172802	552	3066	0.000629391100702576	0.06	0.00587858606557377	0.282
Block_200	8	80990431	82283206	0.00614093467155022	1.11765011022214	113	272729	272910	182	401	0.000470213700234192	0.06	0.0363125731850117	0.62
Block_201	14	82730836	91925112.5	0.00498018801934774	3.75506176658819	175	89650	90403	754	8200	0.000757464871194379	0.062	0.00350373243559719	0.222
Block_202	2	128194918	131143719	0.00578718470066343	1.788240072505	33	151568	151876	309	518	0.000611094847775176	0.062	0.0159543325526932	0.456
Block_203	17	19840295	22203266.25	0.00602089215485833	1.19213664666195	198	116831	117028	198	385	0.000569013466042155	0.062	0.0328253073770492	0.59
Block_204	4	56534223	59167549	0.00605617572121315	1.16884191419414	59	205345	205537	193	587	0.000547057962529274	0.062	0.0338389197892272	0.604
Block_205	2	204357716	213823560	0.00488903520385147	4.44902203550484	37	158186	159095	910	6271	0.000645857728337237	0.064	0.00243340163934426	0.19
Block_206	4	36210714	39734708	0.0055499115186094	2.40866159907648	56	203800	204233	434	1023	0.000645857728337237	0.064	0.00894686768149883	0.348
Block_207	1	111669324	114950194.333333	0.00554593570093215	2.38475235140083	7	14443	14872	430	1629	0.000656835480093677	0.064	0.00912617096018735	0.356
Block_208	18	74600727	77001454	0.00586448138951101	1.31364383125047	207	131487	131710	224	1186	0.000687939110070258	0.064	0.0277810304449649	0.558
Block_209	17	18553598	19733409	0.00597540838088397	1.06959810017823	198	116644	116822	179	385	0.000708064988290398	0.066	0.0389874853629977	0.628
Block_210	1	67562326	77939975.5	0.00511500277111968	3.26848677074547	3	11056	11694	639	9593	0.00076478337236534	0.068	0.004778981264637	0.262
Block_211	6	45399681	48714968	0.00567480958749696	2.03158183232391	74	238992	239349	358	4853	0.000634879976580796	0.068	0.012457918618267	0.418
Block_212	6	117101391	121252563	0.00583501580728245	1.4295788727842	87	243703	243947	245	6089	0.000682450234192037	0.068	0.0239845579625293	0.532
Block_213	21	16230539	16907020	0.00683971503154495	0.540337487492051	216	171572	171650	79	363	0.000230532786885246	0.068	0.104661885245902	0.87
Block_214	3	115509706.5	120514413	0.00548802685078183	2.31045930417915	49	191412	191832	421	1516	0.000748316744730679	0.07	0.00965493266978923	0.364
Block_215	10	60472636	62723832.5	0.0057855140930993	1.6373004883471	145	34004	34286	283	752	0.000664153981264637	0.07	0.0187756147540984	0.492
Block_216	9	19441929	25261450	0.0057881734287877	1.51650143834238	123	281109	281370	262	750	0.000708064988290398	0.07	0.0215292008196721	0.518
Block_217	2	32573010	40767347	0.00476615456426392	4.57550838169337	20	142319	143278	960	10151	0.000742827868852459	0.072	0.00227788348946136	0.188
Block_218	1	244004889	247923157	0.00523649980168854	3.03716988497936	19	27437	28016	580	5331	0.0007629537470726	0.072	0.0056059718969555	0.276
Block_219	15	31010702	32425628	0.00593813739656007	1.05105031919113	183	93877	94053	177	177	0.000750146370023419	0.072	0.0401383196721311	0.632
Block_220	3	89901227	90257020	0.0114210873060591	0.114210873060591	45	189614	189623	10	10	7.50146370023419e-05	0.072	0.458915764051522	1
Block_221	2	83448633	86770055	0.00545936168542031	2.27655382282027	20	147646	148062	417	10151	0.000808694379391101	0.074	0.00991473946135831	0.368
Block_222	18	19396179.5	21406132	0.00579302952809732	1.44825738202433	204	126995	127244	250	676	0.000742827868852459	0.074	0.0234484777517564	0.524
Block_223	9	74102240.5	75625352	0.0059321658343403	1.00253602600351	131	282541	282709	169	513	0.00079405737704918	0.076	0.0431754976580796	0.65
Block_224	7	41525	213539.75	0.00758563740690908	0.311011133683272	88	249662	249702	41	41	0.000177473653395785	0.076	0.200215895784543	0.978
Block_225	5	91791236	93733023	0.00611380466629148	0.923184504610013	71	222467	222617	151	2650	0.000590968969555035	0.078	0.0492827868852459	0.668
Block_226	2	88301542.5	89545254	0.00631092407501318	0.750999964926569	22	148088	148206	119	119	0.000466554449648712	0.078	0.0667593676814988	0.758
Block_227	2	136651489	144448686	0.00533737362860275	2.40715550649984	35	152347	152797	451	5305	0.000907494145199063	0.08	0.00895784543325527	0.348
Block_228	1	93850484	97477258	0.0053782356875681	2.39331488096781	4	12984	13428	445	1796	0.000856264637002342	0.08	0.00906762295081967	0.356
Block_229	2	132919865	136034396	0.00553114244931562	1.90824414501389	35	151951	152295	345	5305	0.000903834894613583	0.082	0.0140442037470726	0.434
Block_230	5	77458683	78744381	0.00582026290475135	1.12331074061701	71	221308	221500	193	2650	0.000887368266978923	0.082	0.0360106850117096	0.62
Block_231	7	126959664	130333846	0.00520272765591167	2.5857556449881	103	261033	261529	497	2121	0.000984338407494145	0.084	0.00772650761124122	0.326
Block_232	4	10755811	15503662	0.00559759793850096	1.7520481547508	54	202333	202645	313	1466	0.000894686768149883	0.084	0.0165873829039813	0.464
Block_233	8	103344822	104809307	0.00575710864825333	1.295349445857	116	274708	274932	225	2224	0.000878220140515222	0.086	0.0284543325526932	0.564
Block_234	2	95613013.3333333	96076165	0.00684520727555953	0.486009716564726	26	148218	148288	71	71	0.000259806791569087	0.086	0.119597116510539	0.898
Block_235	7	143577270	150150446.5	0.00536997039783108	2.12113830714328	105	263269	263663	395	1749	0.00104837529274005	0.09	0.0113857581967213	0.386
Block_236	7	150424886	151819575.666667	0.00549219243635458	1.73004061745169	105	263702	264016	315	1749	0.00106301229508197	0.09	0.0169405005854801	0.468
Block_237	8	5366761.25	7004819	0.00583696394558234	0.968936014966668	107	265540	265705	166	166	0.000967871779859485	0.09	0.0456198770491803	0.656
Block_238	2	187435837	189600758	0.00603617856413109	0.83299264185009	35	156656	156793	138	5305	0.000761124121779859	0.09	0.0577063817330211	0.718
Block_239	4	52697492	53935059	0.00627978760982413	0.728455362739599	59	204963	205078	116	587	0.000519613583138173	0.09	0.0696410275175644	0.776
Block_240	3	147680482	150864287	0.00524695653225717	2.36113043951573	51	194926	195375	450	1670	0.00107764929742389	0.092	0.00927985948477752	0.358
Block_241	10	24331904	26954087	0.00569819333463407	1.38466098031608	137	31230	31472	243	2154	0.000914812646370023	0.092	0.0253695843091335	0.538
Block_242	9	6538816	8961363	0.00621226005011347	0.757895726113844	118	280470	280591	122	641	0.000570843091334895	0.092	0.0658738290398126	0.75
Block_243	2	161367376	168407472	0.0050428200038171	2.71807998205742	35	154299	154837	539	5305	0.00114168618266979	0.094	0.00701112412177986	0.316
Block_244	13	38718014.5	42530006	0.00529958881312935	2.14103388050426	165	76971	77374	404	3958	0.00114351580796253	0.094	0.0111973067915691	0.384
Block_245	10	89279408.75	93569149	0.00481839425951895	2.8717629786733	147	37541	38136	596	6142	0.00152041861826698	0.096	0.0062317037470726	0.29
Block_246	4	163407197	164406143	0.00749531495616302	0.299812598246521	62	212485	212524	40	561	0.000221384660421546	0.098	0.208061329039813	0.984
Block_247	13	61083925	61860004	0.00853822646971632	0.247608567621773	167	79034	79062	29	265	0.000142710772833724	0.098	0.251833284543326	0.996
Block_248	19	52714119	59097644	0.00479587274130555	2.88231951752463	211	137334	137934	601	3560	0.00156067037470726	0.1	0.00620060011709602	0.29
Block_249	6	49825239	57614321	0.00461065281183899	3.65624767978832	74	239415	240207	793	4853	0.00137404859484778	0.102	0.00376719847775176	0.232
Block_250	3	158367781	161294050	0.00544733526485249	1.6396479147206	51	196147	196447	301	1670	0.00121853044496487	0.102	0.0187115778688525	0.49
Block_251	18	95601	2425572	0.0059352333987265	0.830932675821711	202	125518	125657	140	1409	0.000947745901639344	0.104	0.0579735070257611	0.718
Block_252	7	57207963.5	57881100	0.00881550731605318	0.22038768290133	90	255863	255887	25	25	0.000144540398126464	0.104	0.280521809133489	1
Block_253	8	105360744	109476352	0.00537617440334585	1.67199023944056	116	274975	275285	311	2224	0.00135209309133489	0.106	0.0180455942622951	0.48
Block_254	18	72474107	74569868	0.0054974299446354	1.44032664549447	207	131222	131483	262	1186	0.00127524882903981	0.108	0.0236771809133489	0.53
Block_255	14	20267770	22320468.3333333	0.00533930520078281	1.56441642382936	172	82932	83224	293	1895	0.00153688524590164	0.114	0.0203564110070258	0.508
Block_256	5	78830022	79855768	0.00610447648101324	0.732537177721589	71	221509	221628	120	2650	0.000724531615925059	0.114	0.0690756733021077	0.774
Block_257	5	81966738	85056547	0.00566530594951728	1.01408976496359	71	221842	222020	179	2650	0.00132830796252927	0.118	0.0424162031615925	0.65
Block_258	7	105042788.5	106751055	0.0054629767843525	1.28926252110719	101	259396	259631	236	1382	0.00149663348946136	0.12	0.0286683987119438	0.564
Block_259	5	65519915	66611496	0.00590374592686889	0.755679478639218	68	220169	220296	128	528	0.00107399004683841	0.12	0.0661720579625293	0.752
Block_260	15	83826939	84954067.5	0.00627533720949184	0.558505011644774	186	101161	101249	89	2546	0.000653176229508197	0.12	0.100014637002342	0.862
Block_261	9	36582663	37115584	0.00645369295715542	0.477573278829501	125	281980	282053	74	767	0.000541569086651054	0.12	0.122293984192037	0.898
Block_262	6	89655098.5	90872859	0.00560928274515694	0.976015197657307	81	241614	241787	174	989	0.00151492974238876	0.128	0.0450947745901639	0.656
Block_263	4	95971449	103782243	0.00474056347317297	2.56938540245975	60	207965	208506	542	4676	0.00202905444964871	0.13	0.00783628512880562	0.328
Block_264	2	96330526	97647148	0.00554757916323872	1.07068277850507	27	148289	148481	193	193	0.0015990925058548	0.13	0.0389325966042155	0.628
Block_265	6	18978805	22017093	0.00522850535461803	1.7097212509601	73	234911	235237	327	3384	0.0016722775175644	0.132	0.0172917886416862	0.47
Block_266	3	162653787	166884766	0.00606282530973844	0.679036434690705	52	196468	196579	112	4139	0.000826990632318501	0.132	0.0769137880562061	0.792
Block_267	19	22967229.6666667	24216083.3333333	0.00795395356688943	0.246572560573572	209	134339	134369	31	45	0.000237851288056206	0.132	0.252782860070258	0.996
Block_268	7	39369129	43594819	0.00486088974520597	2.21656572381392	89	254022	254477	456	6160	0.00208394320843091	0.134	0.0104709455503513	0.376
Block_269	8	94029982.6666667	95430918	0.00555814275428932	1.03381455229781	116	273527	273712	186	2224	0.00161555913348946	0.134	0.0411940134660422	0.646
Block_270	15	32928768	36904326	0.00490333478944779	2.18688731609371	184	94054	94499	446	525	0.00197782494145199	0.138	0.0107270930913349	0.378
Block_271	13	30850459	33050030	0.00523820479100838	1.59241425646655	165	76178	76481	304	3958	0.00180766978922717	0.138	0.0197050644028103	0.506
Block_272	18	13103371.3333333	14154203	0.00559241874797069	0.917156674667193	202	126763	126926	164	1409	0.00167044789227166	0.138	0.049824355971897	0.678
Block_273	10	64140003	64875536	0.00617195884869331	0.586336090625865	145	34466	34560	95	752	0.00076478337236534	0.138	0.09388356264637	0.85
Block_274	9	30967764	33871566	0.00554755055975281	0.96527379739699	125	281524	281697	174	767	0.00172533665105386	0.14	0.0458778542154567	0.656
Block_275	1	64140332	67421223	0.00488180550693341	2.1479944230507	3	10605	11044	440	9593	0.00210040983606557	0.142	0.0111113144028103	0.382
Block_276	1	144882848	145743288.333333	0.006036068288005	0.65189537510454	11	15506	15613	108	108	0.000927620023419204	0.144	0.0812792740046838	0.808
Block_277	4	60399257	66348248	0.00577926142484666	0.72818693953068	60	205550	205675	126	4676	0.00138685597189696	0.146	0.0696922570257611	0.776
Block_278	5	35954233	36884209	0.00610192674370294	0.622396527857699	66	217784	217885	102	1122	0.000852605386416862	0.148	0.086528468969555	0.832
Block_279	8	48043591	48815930	0.00603078900709003	0.639263634751543	111	270025	270130	106	354	0.000956894028103045	0.15	0.0834583577283372	0.814
Block_280	9	73005086.6666667	73771194	0.00681965427206204	0.340982713603102	131	282484	282533	50	513	0.000475702576112412	0.152	0.181147540983607	0.962
Block_281	12	29598252	31973862.5	0.00527366552478552	1.24985872937417	158	63358	63594	237	4166	0.00214798009367681	0.154	0.0302510245901639	0.572
Block_282	10	18240604.8	23846419	0.00466535946235782	2.43065227988843	137	30694	31214	521	2154	0.00247365339578454	0.156	0.00880049765807962	0.346
Block_283	3	155607265	157870101	0.00526291677859513	1.36309544565614	51	195867	196125	259	1670	0.00199795081967213	0.156	0.02604837529274	0.544
Block_284	7	109508788	112295088	0.0053255607155419	1.1183677502638	101	259865	260074	210	1382	0.00218457259953162	0.16	0.0362686621779859	0.62
Block_285	13	69459727.75	71588839	0.00706243736744539	0.282497494697816	169	79266	79305	40	923	0.000433621194379391	0.16	0.221230971896956	0.99
Block_286	4	143269319	148516026	0.00485856570480838	1.92399201910412	61	210892	211287	396	2259	0.00258709016393443	0.162	0.0138045228337237	0.432
Block_287	4	153291285	154403855	0.00544914169361305	0.942701512995057	61	211742	211914	173	2259	0.00204369145199063	0.162	0.047606850117096	0.666
Block_288	4	76949683	80604140	0.00492882856189742	1.9123854820162	60	206412	206799	388	4676	0.0022980093676815	0.164	0.0139874853629977	0.434
Block_289	12	82121138	88549024	0.00524597535526038	1.26952603597301	164	68331	68572	242	7249	0.00221384660421546	0.164	0.0294459894613583	0.566
Block_290	3	68584086	71034420	0.00529287751737773	1.13796866623621	40	188377	188591	215	960	0.00227788348946136	0.164	0.0352660275175644	0.612
Block_291	12	63015181.5	63754912	0.00619018422012511	0.476644184949634	162	66573	66649	77	137	0.000892857142857143	0.168	0.122628805620609	0.902
Block_292	9	71032491	72783071	0.00542682377930146	0.976828280274263	131	282293	282472	180	513	0.00207662470725995	0.17	0.045038056206089	0.656
Block_293	4	26753673	29751733	0.00572508122508999	0.698459909460979	54	203532	203653	122	1466	0.00162287763466042	0.17	0.0739168618266979	0.786
Block_294	8	46941033	47399953	0.0077281424505891	0.231844273517673	110	269987	270016	30	30	0.000320184426229508	0.174	0.26768149882904	1
Block_295	1	87431228	89075311	0.00562040256691659	0.713791125998407	4	12376	12502	127	1796	0.00192842505854801	0.176	0.0715914080796253	0.782
Block_296	13	56138482	56150794.5	0.0160136920182067	0.0480410760546202	166	78869	78871	3	20	0.000173814402810304	0.176	0.683537031615925	1
Block_297	12	88703531	92603913	0.0047220879606988	1.9502223277686	164	68580	68992	413	7249	0.00318354800936768	0.188	0.0134550644028103	0.43
Block_298	18	59934476	61823394	0.00485739797671573	1.69037449589707	206	130265	130612	348	3013	0.00310487412177986	0.188	0.0176320989461358	0.47
Block_299	3	112754552	113841596	0.00544641016260471	0.800622293902892	49	191098	191244	147	1516	0.00239314988290398	0.188	0.0610545960187354	0.736
Block_300	4	31659312	35727158	0.00605932940110147	0.466568363884814	56	203705	203781	77	1023	0.00116913056206089	0.194	0.125881879391101	0.904
Block_301	10	51497363	51823124	0.00871518036337738	0.148158066177415	143	33598	33614	17	318	0.000278103044496487	0.196	0.386248536299766	1
Block_302	8	68623427	72475199	0.00482353873372428	1.58694424339529	112	271825	272153	329	2217	0.00352019906323185	0.198	0.0198276492974239	0.508
Block_303	10	28525747	30460445	0.00482755604798732	1.53033526721198	137	31615	31931	317	2154	0.00368120608899297	0.198	0.0211669350117096	0.514
Block_304	4	40798110	42455780	0.00509759449812689	1.11637319508979	56	204411	204629	219	1023	0.00317622950819672	0.198	0.0363674619437939	0.62
Block_305	14	92148474	93627094	0.00484157793985948	1.51057231723616	175	90422	90733	312	8200	0.00363729508196721	0.2	0.0217103337236534	0.52
Block_306	8	56652350	59372090	0.00503413634021217	1.26860235773347	112	270744	270995	252	2217	0.00314512587822014	0.2	0.0294807523419204	0.566
Block_307	12	24895520	28024027	0.00450148155520407	2.1021918862803	158	62759	63225	467	4166	0.00380013173302108	0.202	0.0116162909836066	0.392
Block_308	21	17541434	19872514	0.00541390998569815	0.752533488012043	216	171699	171837	139	363	0.00264746779859485	0.202	0.0665764051522248	0.754
Block_309	8	74746610	78362352	0.00511706681526569	1.08993523165159	112	272371	272583	213	2217	0.00317257025761124	0.204	0.0377909104215457	0.624
Block_310	4	177107381	178432787	0.00552625923179086	0.685256144742067	63	213334	213457	124	445	0.00236753512880562	0.204	0.0759404274004684	0.786
Block_311	21	21727526	22537838	0.00782099880295813	0.187703971270995	217	171876	171899	24	78	0.00038605093676815	0.206	0.321748755854801	1
Block_312	10	52869833	53932613	0.00639807502013465	0.364690276147675	143	33728	33784	57	318	0.000836138758782201	0.208	0.167955942622951	0.956
Block_313	12	42883991	46101447	0.00498973165316819	1.26240210825155	161	64076	64328	253	2681	0.00340859192037471	0.212	0.0297405591334895	0.566
Block_314	4	165823850	168937817	0.00537769154093435	0.742121432648941	62	212603	212740	138	561	0.00285055620608899	0.216	0.0679065427400468	0.764
Block_315	14	36211831	37612455	0.00540541337469062	0.718919978833853	172	84500	84632	133	1895	0.00278103044496487	0.216	0.0708888319672131	0.78
Block_316	7	92036870	94129150	0.00492747739859038	1.31070898802504	100	257886	258151	266	1478	0.00365193208430913	0.218	0.0278871487119438	0.558
Block_317	4	151897949	153242621	0.00519830961394514	0.9097041824404	61	211560	211734	175	2259	0.00328417740046838	0.218	0.050464724824356	0.682
Block_318	14	29580937	31161422	0.00560073967710564	0.61608136448162	172	83900	84009	110	1895	0.00226690573770492	0.218	0.087739680913349	0.836
Block_319	3	175202526	178962387	0.00470740904092613	1.60522648295581	52	197483	197823	341	4139	0.00424656030444965	0.22	0.0194104947306792	0.502
Block_320	5	66900986	68344202	0.00522278022666404	0.887872638532886	68	220313	220482	170	528	0.00323660714285714	0.222	0.0524443793911007	0.684
Block_321	12	69207054	71950838	0.00481919885102735	1.36383327484074	163	67281	67563	283	1012	0.00427766393442623	0.228	0.0260191012880562	0.544
Block_322	4	169322313	169842507	0.00561383909973033	0.595066944571415	62	212767	212872	106	561	0.00229617974238876	0.228	0.0919880708430913	0.846
Block_323	2	144998514	148893152	0.00470830567111144	1.45015814670232	35	152872	153179	308	5305	0.00480459601873536	0.23	0.0233917593676815	0.524
Block_324	5	80000868	81890512	0.005075083666627	1.00994164965877	71	221638	221836	199	2650	0.00367388758782201	0.23	0.042743706088993	0.65
Block_325	2	169281609	170521297	0.0051856779051057	0.881565243867969	35	154941	155110	170	5305	0.00346348067915691	0.23	0.0529731411007026	0.686
Block_326	4	175501824	176934741	0.00595101857286692	0.458228430110753	63	213247	213323	77	445	0.00153322599531616	0.23	0.128642783957845	0.91
Block_327	6	97842165	99825673	0.00567802963519365	0.550768874613784	84	242046	242142	97	304	0.00219372072599532	0.236	0.101966847189696	0.864
Block_328	12	66211550	68981281	0.00460303515570702	1.5742380232518	163	66914	67255	342	1012	0.00511563231850117	0.238	0.020122218969555	0.508
Block_329	5	50218625	54448226	0.00455562911843307	1.68558277382023	67	218709	219078	370	1316	0.00502415105386417	0.246	0.0177510245901639	0.474
Block_330	18	28256189	30594291	0.00501388091007078	0.972692896553732	206	127624	127817	194	3013	0.00422460480093677	0.246	0.0453381147540984	0.656
Block_331	5	75127895.5	77234160	0.00489374722986666	1.12066811563946	71	221048	221276	229	2650	0.00448075234192037	0.25	0.0361497365339578	0.62
Block_332	9	103574138	104757854	0.00602701646733468	0.379702037442085	132	285205	285267	63	2462	0.00158628512880562	0.252	0.160472775175644	0.952
Block_333	13	65532790.75	66187455	0.00942160780419662	0.103637685846163	167	79143	79153	11	265	0.000358606557377049	0.254	0.485855166861827	1
Block_334	2	158476243	161311184	0.00452706670205302	1.73386654688631	35	153906	154288	383	5305	0.00501500292740047	0.256	0.0168728044496487	0.468
Block_335	5	61782356	62421702	0.00680687175033364	0.231433639511344	67	219960	219993	34	1316	0.000810524004683841	0.256	0.268113290398126	1
Block_336	6	29113955	30289992	0.00483740449036208	1.11260303278328	74	236021	236250	230	4853	0.00506989168618267	0.258	0.0365577429742389	0.62
Block_337	6	112499371	115337950	0.00478844608285476	1.15880395205085	86	243331	243572	242	1290	0.00528761709601874	0.262	0.0342688817330211	0.608
Block_338	6	103720981	107064790	0.0045705437829661	1.38487476623873	86	242283	242585	303	1290	0.00625548887587822	0.266	0.025365925058548	0.538
Block_339	14	44786246	45397842	0.00753159826640442	0.180758358393706	173	84869	84892	24	121	0.000565354215456674	0.266	0.331736680327869	1
Block_340	3	109789687	112238183	0.00476187032326311	1.19046758081578	49	190772	191021	250	1516	0.00541569086651054	0.27	0.0328984923887588	0.59
Block_341	8	53636835	54605655.6666667	0.00614369964714738	0.337903480593106	112	270518	270572	55	2217	0.00141064110070258	0.27	0.182993632903981	0.964
Block_342	15	51232901	55834750	0.00432836188713986	1.80059854505018	185	96226	96641	416	6498	0.00603959309133489	0.272	0.0157640515222482	0.456
Block_343	3	197033176	197712481.5	0.00521934014370392	0.699391579256325	52	200455	200588	134	4139	0.00398126463700234	0.272	0.0737832991803279	0.786
Block_344	6	128175426	132697148	0.00423006567503434	1.86968902836518	87	244387	244828	442	6089	0.00631220725995316	0.274	0.0146827429742389	0.44
Block_345	9	77145569	77880858	0.00641746218755141	0.288785798439813	131	282761	282805	45	513	0.00112887880562061	0.278	0.216186694964871	0.988
Block_346	22	20771269.3333333	21463335	0.00519626804091213	0.665122309236753	220	175460	175587	128	128	0.00428681206088993	0.28	0.0791294642857143	0.802
Block_347	1	78393920	81593103	0.0049302146789942	0.862787568823985	3	11753	11927	175	9593	0.00551997950819672	0.284	0.0547021370023419	0.694
Block_348	13	72287312	73413970	0.00593638013746144	0.379928328797532	169	79323	79386	64	923	0.00187902517564403	0.284	0.160357508782201	0.952
Block_349	7	120740178	121089768	0.00655693966483292	0.249163707263651	102	260662	260699	38	435	0.00106667154566745	0.284	0.250329332552693	0.994
Block_350	2	198234595	203114962	0.00394333038422231	2.18460503285916	37	157544	158097	554	6271	0.00615120023419204	0.288	0.010747218969555	0.378
Block_351	6	23891030	26758062.5	0.00435877942304425	1.63890106306464	74	235355	235730	376	4853	0.00679888758782201	0.29	0.0187335333723653	0.49
Block_352	1	189399073	191740297	0.00594501699663074	0.350756002801214	16	20756	20814	59	280	0.00199978044496487	0.292	0.175450087822014	0.958
Block_353	6	96537496	97516036	0.00635760901004282	0.286092405451927	84	241989	242033	45	304	0.00126975995316159	0.296	0.218345652810304	0.99
Block_354	13	87098885	89920099	0.00571159285277622	0.428369463958216	170	80186	80260	75	2686	0.0024901200234192	0.298	0.139391832552693	0.926
Block_355	9	86690483	88058136	0.00555945789364272	0.478113378853274	132	283342	283427	86	2462	0.00301156323185012	0.3	0.122096384660422	0.898
Block_356	5	95177821	99150309	0.00437744994091393	1.56712707884719	71	222763	223120	358	2650	0.00706418325526932	0.302	0.0202905444964871	0.508
Block_357	6	80083922	80892124	0.00589013348078812	0.359298142328075	81	241001	241061	61	989	0.00213151346604215	0.302	0.170747950819672	0.956
Block_358	13	62106050	62454781	0.00967901061947725	0.0871110955752952	167	79069	79077	9	265	0.000431791569086651	0.302	0.534232289227166	1
Block_359	8	61600469	64162485	0.00454764544074232	1.2460548507634	112	271200	271473	274	2217	0.00727093091334895	0.306	0.0304047131147541	0.572
Block_360	3	152277302	153074462	0.0057712620926078	0.398217084389938	51	195619	195687	69	1670	0.00236021662763466	0.308	0.151879025175644	0.94
Block_361	7	82764087	84122752	0.00546286878317876	0.502583928052446	98	257362	257453	92	643	0.00341774004683841	0.31	0.114743120608899	0.888
Block_362	18	77264196	78012216	0.00545619370572112	0.501969820926343	207	131731	131822	92	1186	0.00345982142857143	0.31	0.114907786885246	0.888
Block_363	8	84358274	86414553	0.00573960885065027	0.401772619545519	114	272989	273058	70	77	0.00250292740046838	0.31	0.150373243559719	0.938
Block_364	3	142499641	144493973	0.00481079150824999	0.861131679976749	50	194608	194786	179	2947	0.00688122072599532	0.314	0.0548905884074941	0.694
Block_365	4	9371392	10724898	0.00499883077253826	0.684839815837742	54	202188	202324	137	1466	0.00598836358313817	0.316	0.0760099531615925	0.786
Block_366	4	160263268	162684229	0.00563386740480417	0.422540055360313	61	212396	212470	75	2259	0.00286702283372365	0.316	0.141658738290398	0.93
Block_367	7	117222532	117885197	0.00579007560124058	0.358984687276916	101	260485	260546	62	1382	0.00251024590163934	0.316	0.170907128220141	0.956
Block_368	7	118372311	120373799	0.00581419440102002	0.348851664061201	102	260551	260610	60	435	0.00245535714285714	0.316	0.176567988875878	0.958
Block_369	3	167555695	170678903	0.00434211823068908	1.53276773543324	52	196628	196980	353	4139	0.00759477459016393	0.318	0.0211083870023419	0.514
Block_370	7	102948750	104630661	0.00518077337901377	0.59060816520757	101	259221	259334	114	1382	0.00490522540983607	0.322	0.0929138612412178	0.846
Block_371	18	27359367	27967271	0.00858185443622127	0.111564107670877	205	127611	127623	13	13	0.000521443208430913	0.324	0.465507903981265	1
Block_372	4	174158728.5	175181359	0.00538253458001099	0.489810646781	63	213124	213214	91	445	0.00397211651053864	0.328	0.11834931206089	0.896
Block_373	3	95402406	98593883	0.00474454732677273	0.877741255452954	48	189669	189853	185	655	0.00758013758782201	0.33	0.0533171106557377	0.686
Block_374	11	5951229.83333333	6834079	0.00498804458416725	0.63348166218924	148	44648	44774	127	3186	0.00640917740046838	0.33	0.0844811182669789	0.82
Block_375	6	73032473	73855564	0.00559899972190839	0.414325979421221	80	240605	240678	74	535	0.00310853337236534	0.33	0.145021589578454	0.934
Block_376	4	44121292	44701173	0.00847625578008075	0.11019132514105	57	204692	204704	13	32	0.000556206088992974	0.33	0.468898199648712	1
Block_377	5	85974712	89757256	0.00437032194944938	1.28487465313812	71	222041	222334	294	2650	0.00914629683840749	0.334	0.0288458723653396	0.564
Block_378	6	125519976	127397804	0.00482837541811039	0.796681943988214	87	244175	244339	165	6089	0.00714834601873536	0.334	0.0615028542154567	0.736
Block_379	6	74238761	75228935	0.00572570750518657	0.354993865321568	80	240701	240762	62	535	0.00287983021077283	0.334	0.173020345433255	0.956
Block_380	2	131502765	132577477	0.00558442952960812	0.413247785191001	34	151877	151950	74	74	0.00322197014051522	0.336	0.145469847775176	0.934
Block_381	13	45140260	45775970	0.00532526934929127	0.489924780134797	165	77722	77813	92	3958	0.00438012295081967	0.338	0.118320038056206	0.896
Block_382	17	28242367	29482914	0.00511614050263642	0.578123876797915	199	117479	117591	113	1194	0.00553461651053864	0.34	0.0956692769320843	0.852
Block_383	21	26412432	30133888	0.00454304263071779	1.07670110348012	218	172001	172237	237	3066	0.00858094262295082	0.342	0.0385794789227166	0.628
Block_384	2	155307096	158220140	0.00481300078687381	0.765267125112936	35	153726	153884	159	5305	0.00759111533957845	0.346	0.0649974385245902	0.748
Block_385	5	41434298	45288543	0.00455365596144198	1.01091162344012	66	218440	218661	222	1122	0.00900907494145199	0.35	0.0426485655737705	0.65
Block_386	12	73815784	76751728	0.00460034329300562	0.984473464703202	164	67666	67879	214	7249	0.00871816451990632	0.35	0.044481850117096	0.654
Block_387	13	74702420	76509957	0.00473789239603329	0.824393276909792	169	79524	79697	174	923	0.00811255854800937	0.35	0.0585809426229508	0.72
Block_388	12	14468208	15687708	0.00491592806630394	0.64890250475212	158	61980	62111	132	4166	0.00720689402810304	0.35	0.0817787617096019	0.812
Block_389	11	22266765	22657905	0.00727584693057252	0.167344479403168	149	46877	46899	23	108	0.000817842505854801	0.35	0.35268406030445	1
