Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_FAT	GO:0044454~nuclear chromosome part	5	3.2467532467532463	0.01692639949460579	DNMT3A, MCM7, CBX3, IRF4, PURB	104	122	12782	5.0370428751576295	0.9777829948960746	0.7188777813946878	19.569824052176767
GOTERM_BP_FAT	GO:0040007~growth	6	3.896103896103896	0.0206213264557685	PPARD, ST6GAL2, LMX1B, GATM, GDF6, BMPR1B	117	183	13528	3.7909485778338237	0.9999999999912565	0.3871698748027056	28.65374265504961
GOTERM_BP_FAT	GO:0032989~cellular component morphogenesis	9	5.844155844155844	0.020867500219686856	PTPRM, VAX2, PAX2, SPON2, BMPR1B, APBB1, UBA52, DVL1, NFATC1	117	397	13528	2.6211974423561326	0.9999999999935691	0.38505636234783347	28.943766870276345
SP_PIR_KEYWORDS	zinc-finger	22	14.285714285714285	0.021204126488290648	ZFAND6, DNMT3A, PPARD, AGFG2, DZIP1, NR4A1, ZNF503, ZFP36L2, GATA2, HIC2, ZFP82, ZNF512B, OVOL2, TRPS1, GATA4, ZFYVE28, U2AF1, ZNF71, FAM159B, ING1, UBA52, ZNF267	148	1718	19235	1.6642938048642357	0.9930725388034964	0.3917846029316887	24.05410967441959
SP_PIR_KEYWORDS	potassium channel	4	2.5974025974025974	0.02192900996468351	KCNQ5, KCNQ3, KCNN3, KCNK12	148	78	19235	6.664934164934165	0.9941665209962435	0.37352677739632023	24.773027977893346
GOTERM_BP_FAT	GO:0010647~positive regulation of cell communication	8	5.194805194805195	0.023120732733467018	PPARD, INS-IGF2, GDF6, NTRK2, PRRX1, TMOD2, IGF2, UBA52, DVL1	117	329	13528	2.811524173226301	0.9999999999996149	0.41101645797130304	31.54744582091554
GOTERM_BP_FAT	GO:0044092~negative regulation of molecular function	8	5.194805194805195	0.024848616196942497	PSMD14, INS-IGF2, ZFYVE28, NR4A1, IGF2, NPR3, TNFRSF4, UBA52, DVL1	117	334	13528	2.7694354879983627	0.9999999999999557	0.4282572994754168	33.48313266529801
UP_SEQ_FEATURE	compositionally biased region:Ala-rich	5	3.2467532467532463	0.03060532945100489	MAGI2, TMEM200C, ZNF503, ARID1B, BTBD11	148	153	19113	4.220323264440911	0.9999999851965103	0.9504480574783438	36.678726375503146
GOTERM_BP_FAT	GO:0019226~transmission of nerve impulse	8	5.194805194805195	0.03097156519244542	KCNQ5, PPARD, KCNQ3, KCNN3, SYN2, TMOD2, UBA52, DVL1	117	350	13528	2.6428327228327233	1.0	0.49668094881692115	39.93693015470172
GOTERM_MF_FAT	GO:0005267~potassium channel activity	5	3.2467532467532463	0.031286468897274655	KCTD8, KCNQ5, KCNQ3, KCNN3, KCNK12	117	133	12983	4.171647066383908	0.9998908383584888	0.7813858125867854	34.419460334950216
GOTERM_CC_FAT	GO:0000791~euchromatin	2	1.2987012987012987	0.03184900060446926	DNMT3A, CBX3	104	4	12782	61.45192307692308	0.9992666507078063	0.8354386963048813	33.82801210824742
GOTERM_BP_FAT	GO:0043086~negative regulation of catalytic activity	7	4.545454545454546	0.03197394805131528	PSMD14, INS-IGF2, ZFYVE28, NR4A1, IGF2, NPR3, UBA52, DVL1	117	277	13528	2.9219044092690303	1.0	0.5017606080593033	40.93576693564878
INTERPRO	IPR000047:Helix-turn-helix motif, lambda-like repressor	3	1.948051948051948	0.03206127161496825	DBX2, NKX6-2, VAX2	143	33	16659	10.590591226954865	0.9999840622554681	0.8413630041731807	35.8253771639127
GOTERM_CC_FAT	GO:0034705~potassium channel complex	4	2.5974025974025974	0.03213424959007208	KCTD8, KCNQ5, KCNQ3, KCNN3	104	86	12782	5.716457960644008	0.9993132918873259	0.7670007969203723	34.07630045513322
GOTERM_CC_FAT	GO:0008076~voltage-gated potassium channel complex	4	2.5974025974025974	0.03213424959007208	KCTD8, KCNQ5, KCNQ3, KCNN3	104	86	12782	5.716457960644008	0.9993132918873259	0.7670007969203723	34.07630045513322
GOTERM_BP_FAT	GO:0001709~cell fate determination	3	1.948051948051948	0.03237785712723626	GATA2, CYP26B1, PAX2	117	33	13528	10.511266511266511	1.0	0.5001543081100915	41.33382437917034
GOTERM_BP_FAT	GO:0048558~embryonic gut morphogenesis	2	1.2987012987012987	0.03386429055182528	OVOL2, GATA4	117	4	13528	57.81196581196581	1.0	0.5100950036547233	42.77715181640409
UP_SEQ_FEATURE	compositionally biased region:Pro-rich	14	9.090909090909092	0.03400663474058771	MTSS1, OBSCN, MAGI2, PHACTR3, AGFG2, TTC9B, ONECUT3, TMEM200C, ARID1B, EMILIN2, PLEKHA4, FUBP1, FIGNL2, INPP5D	148	960	19113	1.8833192567567567	0.9999999980724606	0.9431146458555061	39.86750281751554
GOTERM_BP_FAT	GO:0060041~retina development in camera-type eye	3	1.948051948051948	0.03608609220495277	PTPRM, VAX2, BMPR1B	117	35	13528	9.910622710622711	1.0	0.5269442917138036	44.87253043349321
GOTERM_BP_FAT	GO:0001775~cell activation	7	4.545454545454546	0.03703782488492019	ULBP3, BLOC1S3, INS-IGF2, PREX1, IGF2, IRF4, ITGA4, TNFRSF4	117	287	13528	2.8200958932666254	1.0	0.5304874909221455	45.747896574250845
GOTERM_BP_FAT	GO:0007507~heart development	6	3.896103896103896	0.037632790194256464	IRX4, OVOL2, GATA4, ITGA4, DVL1, NFATC1	117	215	13528	3.2267143709004174	1.0	0.5304813160022601	46.28847910357924
GOTERM_BP_FAT	GO:0007155~cell adhesion	12	7.792207792207792	0.037722910903710494	PPFIA2, MTSS1, PPARD, PTPRM, CLDN5, ACTN2, ITGA4, EDIL3, SPON2, EMILIN2, BMPR1B, UNCX	117	700	13528	1.9821245421245421	1.0	0.5256751877272137	46.36992021090121
UP_SEQ_FEATURE	nucleotide phosphate-binding region:PAPS and substrate	2	1.2987012987012987	0.03787240555001623	HS3ST4, HS3ST3A1	148	5	19113	51.656756756756764	0.9999999998116572	0.9391348601701499	43.30975269605587
UP_SEQ_FEATURE	short sequence motif:SH3-binding 2	2	1.2987012987012987	0.03787240555001623	PRMT8, INPP5D	148	5	19113	51.656756756756764	0.9999999998116572	0.9391348601701499	43.30975269605587
UP_SEQ_FEATURE	short sequence motif:SH3-binding 1	2	1.2987012987012987	0.03787240555001623	PRMT8, INPP5D	148	5	19113	51.656756756756764	0.9999999998116572	0.9391348601701499	43.30975269605587
GOTERM_BP_FAT	GO:0022610~biological adhesion	12	7.792207792207792	0.03805342929366225	PPFIA2, MTSS1, PPARD, PTPRM, CLDN5, ACTN2, ITGA4, EDIL3, SPON2, EMILIN2, BMPR1B, UNCX	117	701	13528	1.9792969750173743	1.0	0.5232524546802008	46.66761547287111
GOTERM_CC_FAT	GO:0000228~nuclear chromosome	5	3.2467532467532463	0.04186969727016598	DNMT3A, MCM7, CBX3, IRF4, PURB	104	162	12782	3.793328584995252	0.9999279422991596	0.7960078758972855	42.05302426548144
INTERPRO	IPR013821:Potassium channel, voltage dependent, KCNQ, C-terminal	2	1.2987012987012987	0.041904144967376364	KCNQ5, KCNQ3	143	5	16659	46.598601398601396	0.9999995015313139	0.8742052389699455	44.16048717753851
INTERPRO	IPR003937:Potassium channel, voltage dependent, KCNQ	2	1.2987012987012987	0.041904144967376364	KCNQ5, KCNQ3	143	5	16659	46.598601398601396	0.9999995015313139	0.8742052389699455	44.16048717753851
BIOCARTA	h_nfatPathway:NFAT and Hypertrophy of the heart (Transcription in the broken heart)	3	1.948051948051948	0.04210122653225698	PRKAR1B, GATA4, NFATC1	14	37	1437	8.322393822393822	0.9138573597268117	0.9138573597268117	34.71156919165557
GOTERM_BP_FAT	GO:0007268~synaptic transmission	7	4.545454545454546	0.043174179277882294	KCNQ5, KCNQ3, KCNN3, SYN2, TMOD2, UBA52, DVL1	117	298	13528	2.715998393850743	1.0	0.563827512638719	51.08625915026439
UP_SEQ_FEATURE	zinc finger region:GATA-type 2	2	1.2987012987012987	0.04527416169480285	GATA2, GATA4	148	6	19113	43.047297297297305	0.9999999999978638	0.949499872798792	49.39397191185293
UP_SEQ_FEATURE	zinc finger region:GATA-type 1	2	1.2987012987012987	0.04527416169480285	GATA2, GATA4	148	6	19113	43.047297297297305	0.9999999999978638	0.949499872798792	49.39397191185293
GOTERM_BP_FAT	GO:0030001~metal ion transport	9	5.844155844155844	0.04654694782140151	KCTD8, KCNQ5, SLC5A5, SLC38A3, KCNQ3, KCNN3, KCNK12, CACNA2D4, NFATC1	117	465	13528	2.237882547559967	1.0	0.5862636773396369	53.806375446717695
GOTERM_BP_FAT	GO:0045597~positive regulation of cell differentiation	6	3.896103896103896	0.0471667389115453	PPARD, LIMK1, INS-IGF2, NKX6-2, IGF2, INPP5D, BMPR1B	117	229	13528	3.02944799014668	1.0	0.5857204719645791	54.29053096761906
GOTERM_BP_FAT	GO:0048598~embryonic morphogenesis	7	4.545454545454546	0.0486455595041018	OVOL2, GATA4, CYP26B1, PRRX1, VAX2, PAX2, ALX4	117	307	13528	2.636376291099418	1.0	0.5918692824634181	55.42656148181846
GOTERM_BP_FAT	GO:0006813~potassium ion transport	5	3.2467532467532463	0.048795156558767795	KCTD8, KCNQ5, KCNQ3, KCNN3, KCNK12	117	160	13528	3.6132478632478633	1.0	0.5876838652327809	55.53999446281443
SP_PIR_KEYWORDS	repressor	8	5.194805194805195	0.04985523223912243	DNMT3A, HIC2, TRPS1, CBX3, ZNF503, CPEB1, PURB, NFATC1	148	435	19235	2.390183286735011	0.9999929655649785	0.6279490351065103	48.13646122174438
GOTERM_BP_FAT	GO:0048557~embryonic digestive tract morphogenesis	2	1.2987012987012987	0.05036757531243699	OVOL2, GATA4	117	6	13528	38.541310541310544	1.0	0.5943198414393831	56.71601875619252
GOTERM_BP_FAT	GO:0035107~appendage morphogenesis	4	2.5974025974025974	0.05329118406688495	CYP26B1, PRRX1, BMPR1B, ALX4	117	99	13528	4.671674005007339	1.0	0.6103681383236361	58.82541443247826
GOTERM_BP_FAT	GO:0035108~limb morphogenesis	4	2.5974025974025974	0.05329118406688495	CYP26B1, PRRX1, BMPR1B, ALX4	117	99	13528	4.671674005007339	1.0	0.6103681383236361	58.82541443247826
KEGG_PATHWAY	hsa04670:Leukocyte transendothelial migration	4	2.5974025974025974	0.053455733039111254	CLDN5, ACTN2, ITGA4, JAM3	38	118	5085	4.536128456735058	0.9649573700265868	0.9649573700265868	42.44909330562301
GOTERM_BP_FAT	GO:0015672~monovalent inorganic cation transport	7	4.545454545454546	0.05589263134176028	KCTD8, KCNQ5, SLC5A5, SLC38A3, KCNQ3, KCNN3, KCNK12	117	318	13528	2.5451808848035267	1.0	0.6232463799668473	60.62089641398063
UP_SEQ_FEATURE	domain:LIM zinc-binding 1	3	1.948051948051948	0.05662054169631664	LMX1B, LIMK1, LHX6	148	50	19113	7.7485135135135135	0.9999999999999979	0.9659739061942649	57.55052433109527
UP_SEQ_FEATURE	domain:LIM zinc-binding 2	3	1.948051948051948	0.05662054169631664	LMX1B, LIMK1, LHX6	148	50	19113	7.7485135135135135	0.9999999999999979	0.9659739061942649	57.55052433109527
GOTERM_BP_FAT	GO:0045321~leukocyte activation	6	3.896103896103896	0.05719833211177333	ULBP3, INS-IGF2, PREX1, IGF2, IRF4, ITGA4, TNFRSF4	117	242	13528	2.8667090485272304	1.0	0.626918653286555	61.49412875495132
GOTERM_BP_FAT	GO:0060173~limb development	4	2.5974025974025974	0.05865216606127832	CYP26B1, PRRX1, BMPR1B, ALX4	117	103	13528	4.49024977180317	1.0	0.6314279673352833	62.44503902664567
GOTERM_BP_FAT	GO:0048736~appendage development	4	2.5974025974025974	0.05865216606127832	CYP26B1, PRRX1, BMPR1B, ALX4	117	103	13528	4.49024977180317	1.0	0.6314279673352833	62.44503902664567
UP_SEQ_FEATURE	region of interest:A	2	1.2987012987012987	0.05990842879254001	INS-IGF2, SYN2, IGF2	148	8	19113	32.285472972972975	0.9999999999999998	0.9615110867900767	59.67426593969086
GOTERM_MF_FAT	GO:0031432~titin binding	2	1.2987012987012987	0.06090533802659564	OBSCN, ACTN2	117	7	12983	31.70451770451771	0.9999999852907766	0.92395262127469	56.57106405802066
GOTERM_BP_FAT	GO:0048638~regulation of developmental growth	3	1.948051948051948	0.06138212433059502	LIMK1, GATA4, UBA52	117	47	13528	7.380250954719039	1.0	0.6437530216728176	64.17138052204272
GOTERM_BP_FAT	GO:0001701~in utero embryonic development	5	3.2467532467532463	0.06474547618425638	GATA2, LMX1B, TEAD4, GATA4, CAPN2	117	176	13528	3.2847707847707848	1.0	0.6591352697922208	66.1959149274034
GOTERM_MF_FAT	GO:0043167~ion binding	47	30.519480519480517	0.06674952662316942	ZFAND6, PPARD, SLC38A3, SLC5A5, AGFG2, DZIP1, FSTL4, EDIL3, AGMAT, KCNK12, KCNQ5, HIC2, GATA2, ZFP36L2, KCNQ3, ZNF512B, OVOL2, CYP26B1, GATA4, U2AF1, LHX6, ZNF71, SPON2, ING1, ZNF267, DNMT3A, OBSCN, LMX1B, LIMK1, NR4A1, ZNF503, ACTN2, NPR3, ITGA4, CAPN2, MARK1, CACNA2D4, ZFP82, OGFOD2, PSMD14, TRPS1, ZFYVE28, GLB1L3, BMPR1B, FAM159B, PMPCB, UBA52	117	4241	12983	1.2297555204888382	0.9999999975481787	0.9161146535372671	60.024415821201934
KEGG_PATHWAY	hsa04514:Cell adhesion molecules (CAMs)	4	2.5974025974025974	0.07006110835070797	PTPRM, CLDN5, ITGA4, JAM3	38	132	5085	4.055023923444976	0.9880952830703347	0.8908912609839832	51.83298078681875
GOTERM_BP_FAT	GO:0001817~regulation of cytokine production	5	3.2467532467532463	0.07022774457264708	INS-IGF2, GATA4, IGF2, IRF4, INPP5D, TNFRSF4	117	181	13528	3.194031260329603	1.0	0.685129293108975	69.26745427812082
GOTERM_BP_FAT	GO:0048705~skeletal system morphogenesis	4	2.5974025974025974	0.07159949341924782	PRRX1, BMPR1B, ALX4, UNCX	117	112	13528	4.129426129426129	1.0	0.6877368206809098	69.99395186390423
GOTERM_CC_FAT	GO:0000790~nuclear chromatin	3	1.948051948051948	0.07250488133235271	DNMT3A, CBX3, IRF4	104	55	12782	6.703846153846155	0.9999999486554824	0.909083645970175	61.71840444702313
GOTERM_BP_FAT	GO:0007267~cell-cell signaling	10	6.493506493506493	0.07250917663289602	KCNQ5, KCNQ3, INS-IGF2, KCNN3, SYN2, GATA4, NTRK2, TMOD2, IGF2, UBA52, DVL1	117	600	13528	1.927065527065527	1.0	0.6878713477946744	70.46681271112723
KEGG_PATHWAY	hsa04530:Tight junction	4	2.5974025974025974	0.07260616629540365	MAGI2, CLDN5, ACTN2, JAM3	38	134	5085	3.9945011783189313	0.9899279832549017	0.7840405830052447	53.142404394477715
GOTERM_MF_FAT	GO:0043169~cation binding	46	29.87012987012987	0.0779191580587008	ZFAND6, SLC38A3, SLC5A5, PPARD, AGFG2, DZIP1, FSTL4, EDIL3, AGMAT, KCNK12, KCNQ5, HIC2, GATA2, ZFP36L2, KCNQ3, ZNF512B, OVOL2, CYP26B1, GATA4, U2AF1, LHX6, ZNF71, SPON2, ING1, ZNF267, DNMT3A, OBSCN, LMX1B, LIMK1, NR4A1, ZNF503, ACTN2, ITGA4, CAPN2, MARK1, CACNA2D4, ZFP82, OGFOD2, PSMD14, TRPS1, ZFYVE28, GLB1L3, BMPR1B, FAM159B, PMPCB, UBA52	117	4179	12983	1.2214470807435631	0.9999999999226068	0.924747225453366	65.92868818772133
SP_PIR_KEYWORDS	alternative splicing	67	43.506493506493506	0.0807649910061037	DLEC1, MTSS1, PPARD, INS-IGF2, PREX1, DZIP1, TTC9B, PRRX1, FSTL4, CPEB1, EDIL3, PAX2, FUBP1, KCNQ5, MCM7, PRMT8, B3GALNT2, RMND5B, CCNA1, TMEFF2, MAGI2, TNIK, GATM, LIMK1, ZNF503, ARID1B, MARK1, TMEM106C, ZFP82, OGFOD2, BRWD1, GYLTL1B, C9ORF171, SLC25A36, ZFYVE28, GLB1L3, IFFO1, ZFAND6, SLC2A11, AGFG2, URGCP, HIC2, OVOL2, SYN2, LHX6, INPP5D, ING1, NFATC1, OBSCN, PHACTR3, ST6GAL2, LMX1B, IGF2, NPR3, UAP1L1, AFF1, DVL1, CACNA2D4, PLEKHA4, TRPS1, SLC25A10, NTRK2, TMTC1, POFUT2, IRF4, APBB1, GREB1L, BTBD11	148	7488	19235	1.162892158985909	0.9999999967268869	0.7775129729416631	66.07927845547059
GOTERM_BP_FAT	GO:0006349~genetic imprinting	2	1.2987012987012987	0.08254029079438455	DNMT3A, INS-IGF2, IGF2	117	10	13528	23.124786324786328	1.0	0.7317643849613813	75.23783448450321
UP_SEQ_FEATURE	splice variant	67	43.506493506493506	0.0842679510701428	DLEC1, MTSS1, PPARD, INS-IGF2, PREX1, DZIP1, TTC9B, PRRX1, FSTL4, CPEB1, EDIL3, PAX2, FUBP1, KCNQ5, MCM7, PRMT8, B3GALNT2, RMND5B, CCNA1, TMEFF2, MAGI2, TNIK, GATM, LIMK1, ZNF503, ARID1B, MARK1, TMEM106C, ZFP82, OGFOD2, BRWD1, GYLTL1B, C9ORF171, SLC25A36, ZFYVE28, GLB1L3, IFFO1, ZFAND6, SLC2A11, AGFG2, URGCP, HIC2, OVOL2, SYN2, LHX6, INPP5D, ING1, NFATC1, DNMT3A, OBSCN, PHACTR3, ST6GAL2, LMX1B, IGF2, NPR3, UAP1L1, DVL1, CACNA2D4, PLEKHA4, TRPS1, SLC25A10, NTRK2, TMTC1, POFUT2, IRF4, APBB1, GREB1L, BTBD11	148	7458	19113	1.1601644887043117	1.0	0.9858048492854077	72.58624451388366
GOTERM_MF_FAT	GO:0003697~single-stranded DNA binding	3	1.948051948051948	0.08658875598020316	FUBP1, MCM7, PURB	117	55	12983	6.052680652680653	0.9999999999948567	0.9256768096613316	69.94369423744928
GOTERM_BP_FAT	GO:0016568~chromatin modification	6	3.896103896103896	0.08672395387756981	DNMT3A, PRMT8, CBX3, IRF4, ARID1B, APBB1	117	274	13528	2.531910911472955	1.0	0.7455360620569594	77.00537770453676
BIOCARTA	h_GATA3pathway:GATA3 participate in activating the Th2 cytokine genes expression	2	1.2987012987012987	0.08713301281269371	PRKAR1B, NFATC1	14	10	1437	20.52857142857143	0.9944635983358187	0.9255929998979845	59.49104216627899
BIOCARTA	h_mef2dPathway:Role of MEF2D in T-cell Apoptosis	2	1.2987012987012987	0.08713301281269371	CAPN2, NFATC1	14	10	1437	20.52857142857143	0.9944635983358187	0.9255929998979845	59.49104216627899
GOTERM_CC_FAT	GO:0043228~non-membrane-bounded organelle	28	18.181818181818183	0.08775266869271209	MTSS1, CBX3, CPEB1, RPL22L1, PAX2, FUBP1, GATA2, MCM7, ZNF71, CCNA1, DNMT3A, GAS2, ACTN2, ARID1B, PURB, MARK1, DVL1, SASS6, RPS16, SPAG4, FAAH, NTRK2, FRMD4B, TMOD2, IRF4, IFFO1, UBA52, MRPL44	104	2596	12782	1.325619295958279	0.9999999987261738	0.9227072484157309	69.01503518702748
GOTERM_CC_FAT	GO:0043232~intracellular non-membrane-bounded organelle	28	18.181818181818183	0.08775266869271209	MTSS1, CBX3, CPEB1, RPL22L1, PAX2, FUBP1, GATA2, MCM7, ZNF71, CCNA1, DNMT3A, GAS2, ACTN2, ARID1B, PURB, MARK1, DVL1, SASS6, RPS16, SPAG4, FAAH, NTRK2, FRMD4B, TMOD2, IRF4, IFFO1, UBA52, MRPL44	104	2596	12782	1.325619295958279	0.9999999987261738	0.9227072484157309	69.01503518702748
GOTERM_MF_FAT	GO:0008134~transcription factor binding	9	5.844155844155844	0.08848177924782154	GATA2, PPARD, GATA4, PRRX1, ACTN2, IRF4, ARID1B, APBB1, PURB	117	513	12983	1.9467686309791574	0.9999999999971643	0.9108253283243507	70.76003194186053
GOTERM_BP_FAT	GO:0016477~cell migration	6	3.896103896103896	0.08879356629872959	PPARD, LMX1B, OVOL2, LHX6, ITGA4, APBB1	117	276	13528	2.513563730955035	1.0	0.7498551944947751	77.83532280729035
GOTERM_CC_FAT	GO:0034703~cation channel complex	4	2.5974025974025974	0.09067918755492771	KCTD8, KCNQ5, KCNQ3, KCNN3	104	132	12782	3.7243589743589745	0.9999999993778139	0.9051358208674957	70.25946323757819
GOTERM_BP_FAT	GO:0046649~lymphocyte activation	5	3.2467532467532463	0.09185603610953029	ULBP3, INS-IGF2, IGF2, IRF4, ITGA4, TNFRSF4	117	199	13528	2.905123910149036	1.0	0.7579438085958035	79.0120004606063
GOTERM_BP_FAT	GO:0016569~covalent chromatin modification	4	2.5974025974025974	0.0940243946550498	DNMT3A, PRMT8, IRF4, APBB1	117	126	13528	3.6706010039343377	1.0	0.7622353779988386	79.80941486545119
INTERPRO	IPR013151:Immunoglobulin	5	3.2467532467532463	0.09445416880081169	A1BG, OBSCN, PTPRM, FSTL4, JAM3	143	202	16659	2.8835768192203837	0.9999999999999976	0.9850693158690861	74.08976033947276
GOTERM_BP_FAT	GO:0008643~carbohydrate transport	3	1.948051948051948	0.09629467961406872	PPARD, SLC2A11, INS-IGF2, IGF2	117	61	13528	5.686422866750735	1.0	0.7667502720904062	80.61379422424703
GOTERM_MF_FAT	GO:0005244~voltage-gated ion channel activity	5	3.2467532467532463	0.09725961533534967	KCTD8, KCNQ5, KCNQ3, KCNK12, CACNA2D4	117	195	12983	2.8452772298926146	0.9999999999998236	0.9134609733664187	74.28428989561873
GOTERM_MF_FAT	GO:0022832~voltage-gated channel activity	5	3.2467532467532463	0.09725961533534967	KCTD8, KCNQ5, KCNQ3, KCNK12, CACNA2D4	117	195	12983	2.8452772298926146	0.9999999999998236	0.9134609733664187	74.28428989561873
GOTERM_MF_FAT	GO:0046872~metal ion binding	45	29.22077922077922	0.09754095145872363	ZFAND6, SLC38A3, SLC5A5, PPARD, AGFG2, DZIP1, FSTL4, EDIL3, AGMAT, KCNK12, KCNQ5, HIC2, GATA2, ZFP36L2, KCNQ3, ZNF512B, OVOL2, CYP26B1, GATA4, U2AF1, LHX6, ZNF71, SPON2, ING1, ZNF267, DNMT3A, OBSCN, LMX1B, LIMK1, NR4A1, ZNF503, ACTN2, ITGA4, CAPN2, MARK1, CACNA2D4, ZFP82, OGFOD2, PSMD14, TRPS1, ZFYVE28, BMPR1B, FAM159B, PMPCB, UBA52	117	4140	12983	1.2061501300631736	0.9999999999998387	0.8962527892919967	74.39045716828161
GOTERM_BP_FAT	GO:0048566~embryonic gut development	2	1.2987012987012987	0.09821903074063046	OVOL2, GATA4	117	12	13528	19.270655270655272	1.0	0.7698465593473924	81.27196105870233
GOTERM_BP_FAT	GO:0014068~positive regulation of phosphoinositide 3-kinase cascade	2	1.2987012987012987	0.09821903074063046	PPARD, INS-IGF2, IGF2	117	12	13528	19.270655270655272	1.0	0.7698465593473924	81.27196105870233
INTERPRO	IPR003598:Immunoglobulin subtype 2	5	3.2467532467532463	0.09836397742075315	A1BG, NTRK2, FSTL4, LRRC24, JAM3	143	205	16659	2.841378134061061	0.9999999999999994	0.9797615497503253	75.57175289611602
GOTERM_BP_FAT	GO:0060284~regulation of cell development	5	3.2467532467532463	0.09969925429546787	LIMK1, INS-IGF2, NKX6-2, NTRK2, IGF2, UBA52	117	205	13528	2.820095893266625	1.0	0.7712666889417381	81.76389803211453
