Accession,Title,Count
GSE44299,"Primary uveal melanoma cells, normal uveal melanocytes, neural crest stem cells, embryonic stem cells and uveal melanoma cell lines",189
GSE44390,DNA Methyltransferase inhibition reverses epigenetically embedded phenotypes in lung cancer preferentially affecting Polycomb target genes,37
GSE44424,"Global CpG Methylation profiling of donor cells, induced pluripotent stem cells, and human embryonic stem cells",43
GSE44430,Comprehensive microarray analysis of reprogramming fidelity in a library of non-integrated induced pluripotent stem cell lines prepared with various derivation methods,207
GSE44446,Characterization of the DNA methylation patterns in oxaliplatin chemosensitive and chemoresistant human colorectal cancer cell lines,2
GSE44661,DNA methylation analysis of melanoma progression to brain metastasis,40
GSE44662,"Genome-wide DNA methylation, gene expression, and copy number integrative analysis of melanoma brain metastasis",62
GSE44684,DNA methylation data from pilocytic astrocytoma tumor samples and normal cerebellum controls,67
GSE44763,Genome-wide analysis reveals DNA methylation markers that varies with both age and obesity,46
GSE44870,Epigenome analysis of primary breast cancer tumors and different types of recurrences.,96
GSE44909,Epigenome analysis of HCC samples with paired adjacent tissue,32
GSE44970,Genome-wide DNA methylation profiles of human hepatocellular carcinoma,102
GSE45198,An Inhibitor of Mutant IDH1 Delays Growth and Promotes Differentiation of Glioma Cells Methylation Data for Xenograft Samples,28
GSE45199,An Inhibitor of Mutant IDH1 Delays Growth and Promotes Differentiation of Glioma Cells Methylation Data for In Vitro Model,16
GSE45200,An Inhibitor of Mutant IDH1 Delays Growth and Promotes Differentiation of Glioma Cells,77
GSE45253,Epigenome analysis of primary MCL,173
GSE45266,Genome-wide promoter methylation analysis identifies epigenetic silencing of MAPK13 in primary cutaneous melanoma,29
GSE45353,Epigenomic Alterations Define Lethal CIMP-positive Ependymomas of Infancy,48
GSE45459,DNA Methylation data from early human B-cell development,22
GSE45461,A global DNA methylation and gene expression analysis of early human B-cell development reveals a demethylation signature and transcription factor network.,53
GSE45469,Induced Pluripotency of Human Prostatic Epithelial Cells,10
GSE45707,"Epigenome analysis of U937, U937 treated with 5mM azacytidine for 24 and 72 hours and its azacytidine-resistant derivative",4
GSE45727,"NLRP7 promotes trophoblast lineage differentiation, YY1 binding and alters CpG methylation",18
GSE45775,DNA methylation in Hippocampus across Alzheimer Braak Stages,20
GSE45958,Radiation-induced epigenetic DNA methylation modification of radiation-response pathways,24
GSE46015,DNA methylation profiling of glioblastoma cancer stem cells,6
GSE46016,Epigenomic profiling of glioblastoma stem cells,58
GSE46045,Synergism between Hedgehog-GLI and EGFR signaling in Hedgehog-responsive human medulloblastoma (Daoy) cells,180
GSE46063,Age-related epigenetic drift in the pathogenesis of MDS and AML part 1,19
GSE46067,Age-related epigenetic drift in the pathogenesis of MDS and AML,25
GSE46168,Inactive or moderately active human promoters are enriched for inter-individual epialleles [Methylation BeadChip],14
GSE46177,A DNA hypermethylation profile reveals new potential biomarkers for prostate cancer diagnosis and prognosis,96
GSE46220,Inactive or moderately active human promoters are enriched for inter-individual epialleles,24
GSE46306,Genome-wide DNA methylation in cervical tissue,44
GSE46364,DNA methylome signature in rheumatoid arthritis,11
GSE46394,Genome-wide DNA methylation aberrations in human atherosclerosis (450K),49
GSE46401,Genome-wide DNA methylation aberrations in human atherosclerosis,51
GSE46419,A novel epigenetic regulated gene and involved in phenotypic switch classifies primary melanomas depending on the aggressiveness grade (Illumina),6
GSE46522,A novel epigenetic regulated gene and involved in phenotypic switch classifies primary melanomas depending on the aggressiveness grade,8
GSE46802,Global analysis of DNA methylation changes during progression of oral tumorigenesis,60
GSE47071,5-hydroxymethylcytosine marks promoters in colon that resist hypermethylation in cancer [Methylation27 Array],89
GSE47351,Methylomic analysis identifies epigenetically silenced genes and implies an activation of β-catenin signal in cervical cancer,2
GSE47359,Genome-wide DNA methylation profiling in cultured eutopic and ectopic endometrial stromal cells (methylation),9
GSE47361,Genome-wide DNA methylation profiling in cultured eutopic and ectopic endometrial stromal cells,18
GSE47592,5-hydroxymethylcytosine marks promoters in colon that resist hypermethylation in cancer,137
GSE47637,Genome-wide DNA methylation profiling of KYSE180 cells transfected with HOTAIR vector using Illumina HumanMethylation 450 arrays,2
GSE47639,KYSE180 cells transfected with HOTAIR compared to control cells,5
GSE47879,A familial disorder of altered DNA-methylation,60
GSE47880,Array-based determination of DNA methylation in children born small for gestational age,110
GSE47915,Human Prostate Cancer Illumina Infinium Human Methylation450 (HM450K bead array) BeadChip samples (benign vs tumor),8
GSE48300,Human DNA methylation profiles for the HBV vaccine responses study,25
GSE48325,DNA methylation analysis in non-alcoholic fatty liver disease suggests distinct disease-specific and remodeling signatures after bariatric surgery,85
GSE48460,MGMT-STP27 methylation status as Predictive Marker for Response to PCV in Anaplastic Oligodendrogliomas and Oligoastrocytomas. A report from EORTC study 26951 [27K],58
GSE48461,MGMT-STP27 methylation status as Predictive Marker for Response to PCV in Anaplastic Oligodendrogliomas and Oligoastrocytomas; A report from EORTC study 26951,59
GSE48462,MGMT-STP27 methylation status as Predictive Marker for Response to PCV in Anaplastic Oligodendrogliomas and Oligoastrocytomas. A report from EORTC study 26951,117
GSE48988,Epigenome analysis of normal colon mucosa samples,178
GSE49053,Differentiation defective phenotypes revealed by large scale analyses of human pluripotent stem cells,244
GSE49064,Aging-induced differential methylation in human PBMCs occurs with but often without change in expression of the associated gene (DNA Methylation),20
GSE49065,Aging-induced differential methylation in human PBMCs occurs with but often without change in expression of the associated gene,40
GSE49143,The NCI60 DNA methylome,60
GSE49343,Overlapping DNA methylation profile between placentas with trisomy 16 and early-onset preeclampsia,30
GSE49393,Profiling Methylomic Alterations in Postmortem Prefrontal Cortex Tissues of Individuals with Alcohol Use Disorders,48
GSE49420,Integrative analysis demonstrates widespread NOTCH pathway activation in patients with renal cancer and reveals aberrant DNA methylation that targets the regulatory regions of the kidney genome,26
GSE49576,Methylation data from medulloblastoma tumor samples,83
GSE49585,The regulatory landscape of osteogenic differentiation,2
GSE49618,Sorted normal bone marrow cells from healthy volunteers at Washington University,21
GSE49656,Distinct Mutational Patterns of Infection and Non-Infection-Related Bile Duct Cancers Revealed by Exome Sequencing,40
GSE49667,DNA methylation differences between human regulatory T cells and conventional T cells,10
GSE49904,Differential DNA methylation with age displays both common and dynamic features across human tissues that are influenced by CpG landscape [blood],71
GSE49905,Differential DNA methylation with age displays both common and dynamic features across human tissues that are influenced by CpG landscape [brain],78
GSE49907,Differential DNA methylation with age displays both common and dynamic features across human tissues that are influenced by CpG landscape [kidney],83
GSE49908,Differential DNA methylation with age displays both common and dynamic features across human tissues that are influenced by CpG landscape [muscle],51
GSE49909,Differential DNA methylation with age displays both common and dynamic features across human tissues that are influenced by CpG landscape,283
GSE49996,Methylation analysis of normal and adenocarcinoma lung tissues,88
GSE50022,Illumina Infinium 450K array data for Diffuse Intrinsic Pontine Glioma,28
GSE50025,Diffuse Intrinsic Pontine Glioma,145
GSE50192,DNA methylome profiling of human tissues identifies global and tissue-specific methylation patterns,70
GSE50220,Epigenome analysis of irradiated and non-irradiated breast tumor tissue samples and normal controls,48
GSE50222,DNA Methylation Changes in Allergic Patients Correlate with Symptom Severity [methylation],32
GSE50387,DNA Methylation Changes in Allergic Patients Correlate with Symptom Severity,70
GSE50409,Leukocyte-adjusted epigenome-wide association studies of blood from solid tumor patients,428
GSE50412,Identification of CpG island methylator phenotype predicts the prognosis of small cell lung cancer,41
GSE50475,Reprogramming of the Human Intestinal Epigenome by Surgical Tissue Transposition,45
GSE50511,"Methylation analysis of normal lymphocytes, HCT116, RKO and SW480",4
GSE50586,Distinct DNA methylation patterns of cognitive impairment and Trisomy 21 in Down Syndrome,20
GSE50608,Global DNA methylation: Uncommon event in Oral Lichenoid Disease [Illumina HumanMethylation27 BeadChip],22
GSE50660,Cigarette Smoking Reduces DNA Methylation Levels at Multiple Genomic Loci but the Effect is Partially Reversible upon Cessation,464
GSE50774,"DNA methylation alteration and gene expression sigature in brainstem, thalamic, and supratentorial gliomas",66
GSE50874,Methylation Profiling of Human Kidney Tubules,85
GSE50923,Genome-wide methylation analyses in glioblastoma multiforme (GBM),78
GSE50967,DNA Methylation profiles of benzene hematotoxicity,12
GSE51032,EPIC-Italy at HuGeF,845
GSE51057,Methylome Analysis and Epigenetic Changes Associated with Menarcheal Age,329
GSE51077,The tissue is the issue: Improved methylome analysis from paraffin-embedded tissues by application of the HOPE-technique,36
GSE51090,DNA methylation profile in well-differentiated cancer uncoves another source of diagnostic and prognostic markers,91
GSE51196,Analysis of epigenetic changes in F-36P leukemic cells by arsenic disulfide treatment,3
GSE51245,Array-based DNA methylation profiling in male infertility reveals allele-specific DNA methylation in PIWIL1 and PIWIL2,40
GSE51287,Methylation profiles of esophageal squamous cell carcinoma patients and cancer-free individual in Taiwan.,288
GSE51557,DNA methylation profiling in the Carolina Breast Cancer Study,526
GSE51688,DNA methylation profiles of ovarian cancer cell lines,58
GSE51747,Comparison of the molecular profiles of human embryonic and isogenic induced pluripotent stem cells. [Illumina],12
GSE51748,Comparison of the molecular profiles of human embryonic and isogenic induced pluripotent stem cells.,34
GSE51810,Gene Body Methylation Directly Increases Gene Expression and is a Therapeutic Target for Genes Upregulated in Cancer (methylation),22
GSE51813,DNA Methylation in Hodgkin's and non-Hodgkin's lymphoma,4
GSE51814,Genome-wide DNase-Seq and methylation profiles in Hodgkin's and non-Hodgkin's lymphoma,9
GSE51815,Gene Body Methylation Directly Increases Gene Expression and is a Therapeutic Target for Genes Upregulated in Cancer,40
GSE51921,DNA methylation analysis in idiopathic and LRRK2-associated Parkinson's disease (PD),28
GSE51923,Idiopathic and LRRK2-associated Parkinson's disease,42
GSE52068,Genome-wide analysis of DNA methylation between nasopharyngeal carcinoma tissues and normal nasopharyngeal epithelial tissues,48
GSE52112,H3K4me1 marks DNA regions hypomethylated during aging in human stem and differentiated cells [MSCs],34
GSE52113,H3K4me1 marks DNA regions hypomethylated during aging in human stem and differentiated cells [twins],24
GSE52114,H3K4me1 marks DNA regions hypomethylated during aging in human stem and differentiated cells,58
GSE52144,Examination of genome-wide methylation changes in lung cancer cell lines A549 (A) and HTB56 (H) [HumanMethylation27 BeadChip experiments],8
GSE52222,Aberrant methylation of gene associated CpG sites occurs in borderline personality disorder,36
GSE52238,Global indiscriminate methylation in cell-specific gene promoters following reprogramming into human induced pluripotent stem cells,13
GSE52391,Integrative DNA methylation and gene expression analysis in high-grade soft tissue sarcomas [methylation],96
GSE52392,Integrative DNA methylation and gene expression analysis in high-grade soft tissue sarcomas,190
GSE52573,Genome-wide methylation profiling of multiple sporadic colorectal cancer,41
GSE52588,Identification of a DNA methylation signature in blood from subjects affected by Down syndrome,87
GSE52621,Detection of hypermethylated circulating serum DNA in metastatic breast cancer and confirmation by the cMethDNA assay,36
GSE52793,Novel DNA methylation targets in oral rinse samples predict survival of patients with oral squamous cell carcinoma,82
GSE52826,the whole-genome methylation profile of esophageal squamous cell carcinoma,12
GSE52980,Epigenome analysis of human epidermal and dermal samples with aging and sun exposure.,119
GSE53045,Epigenome analysis of smoking in peripheral blood mononuclear cells (PBMC) samples,111
GSE53191,DNA Methylation Signature of Childhood Chronic Physical Aggression in T Cells of Both Men and Women (Illumina),12
GSE53193,DNA Methylation Signature of Childhood Chronic Physical Aggression in T Cells of Both Men and Women,50
GSE53227,Epigenome analysis of human brain gliomas (part 1),112
GSE53228,Epigenome analysis of human brain gliomas (part 2),33
GSE53229,Epigenome analysis of human brain gliomas,145
GSE53302,Epigenome analysis of aging muscle progenitors,6
GSE53396,Widespread Discordance of DNA Methylation Between two Accessible Human Tissues,50
GSE53516,Genome-wide promoter methylation analysis associated with malignant melanoma progression,12
GSE53918,Differentiation of human limbal-derived induced pluripotent stem cells into limbal-like epithelium,12
GSE54025,Epigenome study of normal human epithelial tissues,23
GSE54210,Global DNA Methylation: Uncommon Event in Oral Lichenoid Disease [Illumina GoldenGate Methylation Cancer Panel I array],57
GSE54211,Global DNA Methylation: Uncommon Event in Oral Lichenoid Disease,79
GSE54335,"A new syndrome of overgrowth, macrocephaly, hypoglycemia, enlarged ventricles, mild, and moderate intellectual disability and recurrent inflammatory disease is due to mutations in RNF125",4
GSE54415,Genome-Scale Profiling of DNA Methylation in Sporadic Pituitary Macroadenomas: Association with Tumor Invasion and Histopathological Subtype,24
GSE54623,DNA methylation profiles in primary cutaneous melanoma are associated with clinically significant pathologic features,47
GSE54647,"VeraCode GoldenGate Methylation Assay microarray data for purified human leukocytes, reconstruction mixtures and human whole blood samples",158
GSE54670,Illumina Infinium HumanMethylation450 data for human whole blood samples and for mixtures of purified white blood cells reconstructing human blood,12
GSE54671,Quantitative reconstruction of leukocyte subsets using DNA methylation,170
GSE54767,Tissue- and Aging-specific DNA-Methylation Patterns are erased in Mesenchymal Stromal Cells derived from Induced Pluripotent Stem Cells. [Methylation profiling],12
GSE54769,Tissue- and Aging-specific DNA-Methylation Patterns are erased in Mesenchymal Stromal Cells derived from Induced Pluripotent Stem Cells.,20
GSE54848,Critical role of transient activation of human endogenous retroviruses during reprogramming toward pluripotency,137
GSE55454,Methylation profiles of COPD small airways,38
GSE55521,Methylome of a low-grade invasive GIST,1
GSE55734,Genome-wide profiling and validation for forensic tissue-specific DNA methylation markers,16
GSE55763,A coherent approach for analysis of the Illumina HumanMethylation450 BeadChip improves data quality and performance in epigenome-wide association studies,2711
GSE55888,Matrix Elasticity Does Not Affect Replicative Senescence or DNA Methylation Patterns of Mesenchymal Stem Cells [DNAm profiling],20
GSE55889,Matrix Elasticity Does Not Affect Replicative Senescence or DNA Methylation Patterns of Mesenchymal Stem Cells,29
GSE56074,Global DNA Methylation Levels in Lung Fibroblasts from Patients with Idiopathic Pulmonary Fibrosis Compared to Nonfibrotic Controls,12
GSE56342,DNA Methylation is Globally Disrupted and Associated with Expression Changes in COPD Small Airways,60
GSE56491,Genome-wide DNA methylation differences between ex vivo differentiated cells that recapitulate the fetal-to-adult hemoglobin switch,24
GSE56553,Short-term exposure to diesel exhaust is associated with dynamic changes in DNA methylation of circulating mononuclear cells in asthmatics,96
GSE56606,Identification of Type 1 Diabetes-Associated DNA Methylation Variable Positions That Precede Disease Diagnosis,100
GSE57285,DNA methylation profiling of whole blood DNA samples from BRCA1 wild-types without breast cancer and BRCA1 mutants with and without breast cancer (Prague Set 1),84
GSE57342,Immune regulation by low doses of the DNA methyltransferase inhibitor 5-azacitidine in common human epithelial cancers [methylation],338
GSE57343,Immune regulation by low doses of the DNA methyltransferase inhibitor 5-azacitidine in common human epithelial cancers,575
GSE57360,Genome-scale profiling of the DNA methylation landscape in human neurological disorders (BeadChip),29
GSE57361,Genome-scale profiling of the DNA methylation landscape in human neurological disorders,33
GSE57362,A DNA methylation atlas of the human eye and its diseases,265
GSE57484,"Dietary fat quality, more than dietary fat quantity, impacts genome-wide DNA methylation patterns in Greek preadolescents",22
GSE57581,Stability of gene expression and epigenetic profiles highlights the utility of patient-derived paediatric acute lymphoblastic leukaemia xenografts for investigatoing molecular mechanisms of drug resistance (methylation),20
GSE57633,Stability of gene expression and epigenetic profiles highlights the utility of patient-derived paediatric acute lymphoblastic leukaemia xenografts for investigatoing molecular mechanisms of drug resistance,38
GSE57767,Epigenome analysis of normal and preeclamptic placenta samples,45
GSE57831,Profile of differential expression and DNA methylation status in choriodecidua of women affected with severe endometriosis [DNA methylation],6
GSE57832,Expression and methylation profiles of choriodecidua from pregnant women affected with deep endometriosis,12
GSE57869,DNA methylation in systemic lupus erythematosus patients,12
GSE57956,Methylation profile of Hepatocellular Carcinoma,120
GSE57958,Hepatocellular Carcinoma,198
GSE58045,Epigenome-Wide Scans Identify Differentially Methylated Regions for Age and Age-Related Phenotypes in a Healthy Ageing Population,172
GSE58119,DNA methylation profiling of serum DNA samples of the UKCTOCS cohort,282
GSE58165,Harnessing Noxa Demethylation to overcome Bortezomib resistance in Mantle Cell Lymphoma,12
GSE58250,Multi-Omic Integrated networks connect DNA methylation and miRNA with skeletal muscle plasticity to chronic exercise in type 2 diabetic obesity,102
GSE58272,Epigenome analysis of oropharygeal squamous cell carcinoma,92
GSE58280,Multi-Omic Integrated networks connect DNA methylation and miRNA with skeletal muscle plasticity to chronic exercise in type 2 diabetic obesity [Methylation data],34
GSE58477,Differential methylation in CN-AML preferentially targets non-CGI regions and is dictated by DNMT3A mutational status and associated with predominant hypomethylation of HOX genes,72
GSE58538,Genome wide DNA methylation profiles provide clues to the origin and pathogenesis of germ cell tumors,95
GSE58622,The fat cell epigenetic signature in post-obese women is characterized by global hypomethylation and differential DNA methylation of adipogenesis genes,30
GSE58885,Methylomic trajectories across human fetal brain development,179
GSE59157,"Methylome analysis of normal kidney, nephrogenic rest and Wilms tumor",95
GSE59250,DNA Methylation Analysis of Systemic Lupus Erythematosus,434
GSE59260,DNA methylation profiles in alcohol-associated hepatocellular carcinoma,16
GSE59274,Comprehensive Analysis of Preeclampsia-Associated DNA Methylation in the Placenta,48
GSE59339,Characteristic DNA methylation profiles in peripheral blood monocytes are associated with inflammatory phenotypes of asthma,62
GSE59405,DNA methylation data from hepatoma,8
GSE59592,DNA methylome analysis in infants from The Gambia / Aflatoxin / Seasonality study,124
GSE59685,Cross-tissue methylomic profiling implicates cortical deregulation of ANK1 in Alzheimer’s disease neuropathology,531
GSE59724,Methylation analysis of locally advanced breast tumors treated with two drugs-doxorubicin and 5-fluorouracil,61
GSE59796,DNA methylation dynamics during ex vivo differentiation and maturation of human dendritic cells,12
GSE60734,DNA methylation analysis of the U937 cell line,2
GSE60787,Genome-wide DNA methylation analysis of seminoma-like TCam-2 cells during transition into an embryonal carcinoma-like state,12
GSE61107,Genome-wide DNA methylation analysis of human brain tissue from schizophrenia patients,48
GSE61195,The DNA methylation signature of human TCRαβ+CD4-CD8- double negative T cells reveals CG demethylation and a unique epigenetic architecture permissive to a broad stimulatory immune response,21
GSE61242,Epigenetic assimilation in the aging human brain,76
GSE61256,Obesity accelerates epigenetic aging of human liver,271
GSE61257,Human adipose Illumina Inf 450 DNA methylation data,32
GSE61258,Human Liver Illumina Inf 450 DNA methylation data,79
GSE61259,Human muscle Illumina Inf 450 DNA methylation data,26
GSE61342,Generation of a Panel of Induced Pluripotent Stem Cells From Chimpanzees: a Resource for Comparative Functional Genomics (methylation array),28
GSE61343,Generation of a Panel of Induced Pluripotent Stem Cells From Chimpanzees: a Resource for Comparative Functional Genomics,65
GSE61431,Methylomic profiling of human brain tissue supports a neurodevelopmental origin for schizophrenia.,87
GSE61461,Coding mutations and loss-of-imprinting in human pluripotent cells derived by nuclear transfer and defined factors [DNA methylation profiling],21
GSE61463,Epigenome analysis of peripheral blood mononuclear cell (PBMC) samples from obstructive sleep apnea patients and healthy subjects,21
GSE61611,Epigenetic analysis of genomic DNA isolated from whole blood of normal and leukemia individuals,12
GSE61657,Coding mutations and loss-of-imprinting in human pluripotent cells derived by nuclear transfer and defined factors,36
GSE61744,Genome-wide profiling of PARP1 reveals an interplay with gene regulatory regions and DNA methylation,2
GSE62082,DNA methylation profiling in pheochromocytoma and paraganglioma reveals diagnostic and prognostic markers,10
GSE62086,Low dose of DNA-demethylating agents target colorectal cancer-initiating cells by activation of RIG1/MAVS signaling pathway,3
GSE62177,Mastermind-like protein 1 regulates DNA methylation and expression of early developmental gene clusters in human embryonic kidney cells (methylation),6
GSE62178,Mastermind-like protein 1 regulates DNA methylation and expression of early developmental gene clusters in human embryonic kidney cells,16
GSE62231,DNA Methylation in Paraganglioma,123
GSE62298,Genome-scale profiling of the DNA methylation landscape in human AML patients,68
GSE62303,DNA methylation landscape in AML,70
GSE62336,Methylome study in Nasopharyngeal Carcinoma (NPC),50
GSE62640,Analysis of sex differences in DNA methylation in human pancreatic islets,87
GSE62670,Epigenome analysis of dnmt target sites [DKO8 cell line],8
GSE62727,Genome-wide DNA methylation analysis in permanent atrial fibrillation,11
GSE62867,A comparison of genome-wide DNA methylation patterns between different tissues from patients with coronary heart disease,24
GSE62924,Prenatal arsenic exposure and the epigenome: Identifying sites of 5-methyl cytosine alterations that predict functional changes in gene expression in newborn cord blood and subsequent birth outcomes,38
GSE62948,DNA Methylation and RNA Expression Profiles in Lung Adenocarcinomas [DNA methylation],56
GSE62950,DNA Methylation and RNA Expression Profiles in Lung Adenocarcinomas,112
GSE63106,Assessing transcriptionally functional CpGs in articular cartilage,62
GSE63179,Accurate measurement of 5-methylcytosine and 5-hydroxymethylcytosine in human cerebellum DNA,8
GSE63315,Narrow-band UVB phototherapy reverses DNA methylation changes in psoriatic epidermis,47
GSE63347,DNA methylation profiles of brain samples from Down Syndrome subjects and controls.,71
GSE63384,Multi-platform Characterization of Stage I Lung Adenocarcinoma (Genome-wide DNA Methylation),70
GSE63409,"Epigenome analysis of leukemia stem, blast and normal hematopoietic stem/progenitor cells",74
GSE63421,5-hydroxymethylcytosine marks promoters in colon that resist hypermethylation in cancer [Methylation450 Array],6
GSE63695,Characterization of the cartilage DNA methylome in knee and hip osteoarthritis.,97
GSE63704,"Epigenome analysis of normal and cancer, lung fibrosis and COPD fresh frozen tissue samples",129
GSE63940,Epigenome analysis of lung adenocarcinoma cell lines,36
GSE63977,"Molecular portraits of epithelial, mesenchymal and hybrid states in lung adenocarcinoma and their relevance to survival",72
GSE64112,Patterns of somatic uniparental disomy identify novel tumor suppressor genes in colorectal cancer,58
GSE64114,Patterns of somatic uniparental disomy identify novel tumor suppressor genes in colorectal cancer,148
GSE64380,Array-based DNA-methylation analysis in individuals with developmental delay/intellectual disability and normal molecular karyotype,100
GSE64940,DNA methylation in newborn cordblood,216
GSE65057,Altered DNA methylation of glycolytic and lipogenic genes in liver from obese and type 2 diabetic patients [methylome analysis],24
GSE65058,Altered DNA methylation of glycolytic and lipogenic genes in liver from obese and type 2 diabetic patients,45
GSE65097,Epigenome profiling reveals significant DNA demethylation of interferon signature genes in lupus neutrophils,38
GSE65163,The Nasal Methylome and Childhood Atopic Asthma,72
GSE65205,Childhood Atopic Asthma,141
GSE65214,"Global DNA CpG methylation profiling of human embryonic stem cells, fibroblast iPSC, and low passage stromal primed myeloid iPSC before and after conversion to the naïve state",24
GSE66295,A DNA Hypomethylation Signature Predicts Novel Anti-Tumor Activity of LSD1 Inhibitors in SCLC (BeadChip),42
GSE66298,A DNA Hypomethylation Signature Predicts Novel Anti-Tumor Activity of LSD1 Inhibitors in SCLC,136
GSE66351,"DNA methylation profiling of neuron and glia for the dissection of cell type, age and Alzheimer’s disease-specific changes in the human brain",190
GSE66555,"Formalin-fixed, paraffin-embedded (FFPE) tissue epigenomics using Infinium HumanMethylation450 BeadChip assays (HM 450K).",65
GSE66708,NALP3 inflammasome up-regulation and CASP1 cleavage of the glucocorticoid receptor causes glucocorticoid resistance in leukemia cells,1144
GSE66881,Insights into molecular characteristics of anaplastic large cell lymphoma by genome-wide DNA methylation profiling,15
GSE67024,The epigenetic signature of subcutaneous fat cells is linked to altered expression of genes implicated in lipid metabolism in obese women,29
GSE67042,NALP3 inflammasome up-regulation and CASP1 cleavage of the glucocorticoid receptor causes glucocorticoid resistance in leukemia cells [HumanMethylation450 Germline],63
GSE67043,NALP3 inflammasome up-regulation and CASP1 cleavage of the glucocorticoid receptor causes glucocorticoid resistance in leukemia cells [HumanMethylation450 Somatic],175
GSE67044,NALP3 inflammasome up-regulation and CASP1 cleavage of the glucocorticoid receptor causes glucocorticoid resistance in leukemia cells [HumanMethylation27],131
GSE67097,Epigenome analysis of squamous cell carcinoma samples,13
GSE67170,The signature of liver cancer in host peripheral blood mononuclear cells and T cells DNA methylation,89
GSE67283,Establishment of tractable human iPSC-based models for the study and targeting of glioma initiation (Methlyation),4
GSE67286,Establishment of human iPSC-based models for the study and targeting of glioma initiating cells,25
GSE67349,Effect of TET1 overexpression on DNA methylation levels of HEK293 cells,6
GSE67350,"Effect of the simultaneous knockdown of TET1, TET2 and TET3 on DNA methylation levels of HEK293 cells",6
GSE67351,Altering TET dioxygenase levels within physiological range affects DNA methylation dynamics of HEK293 cells,30
GSE67705,Methylome-wide analysis of chronic HIV infected patients and healthy controls,284
GSE67816,Differentially methylated genes in human IL-7Ra high and low EM CD8+ T cells,4
GSE68060,Methyome profiling in serrated carcinoma,120
GSE68194,Association between genome-wide DNA methylation and all-cause mortality in nonagenarians,122
GSE68259,DNA methylation data from cell lines originating from patients with multiple myeloma,6
GSE68339,Interplay between promoter methylation and chromosomal loss in gene silencing at 3p11-p14 in cervical cancer,391
GSE68342,Epigenome analysis of dnmt target sites [3BK0 cell line],24
GSE68344,Epigenome analysis of dnmt target sites,56
GSE68622,whole-genome SNP-CN and DNA methylation data from cell lines originating from patients with multiple myeloma,9
GSE68747,Genome-wide DNA methylation analysis identifies novel hypomethylated non-pericentromeric genes with potential clinical implications in ICF,5
GSE68751,caArray_EXP-550: TCGA (READ):  Analysis of DNA Methylation for rectal adenocarcinoma (READ) Using Illumina Infinium Human DNA Methylation 27 platform (HumanMethylation27)(jhu-usc),81
GSE68825,caArray_EXP-598: TCGA (LUSC): Analysis of DNA Methylation for LUSC using Illumina Infinium HumanMethylation450 platform (jhu-usc),144
GSE68838,caArray_EXP-620: TCGA (Coad): Analysis of DNA Methylation for COAD using Illumina Infinium HumanMethylation450 platform (Jhu-usc),302
GSE69118,DNA methylation of estrogen regulated enhancers defines endocrine sensitivity in breast cancer,8
GSE69138,Epigenome analysis of ischemic stroke patients,589
GSE69176,Epigenome analysis of DNA from umbilical cord blood (UCWBC) in CCCEH birth cohort,152
GSE69270,Aging-associated DNA methylation changes in middle-aged individuals: The Young Finns Study,184
GSE69463,Epigenome analysis of angiogenin impact on bladder cancer,8
GSE69502,Profiling placental and fetal DNA methylation in human neural tube defects,179
GSE70453,Epigenome-wide and Transcriptome-wide Analyses Reveal Gestational Diabetes is Associated with Alterations in the Human Leukocyte Antigen Complex [methylation],82
GSE70494,Epigenome-wide and Transcriptome-wide Analyses Reveal Gestational Diabetes is Associated with Alterations in the Human Leukocyte Antigen Complex,145
GSE70782,Genome-wide methylation profiles in primary intracranial germ cell tumors indicate primordial germ cell origin of germinoma [Agilent],81
GSE70783,Genome-wide methylation profiles in primary intracranial germ cell tumors indicate primordial germ cell origin of germinoma [Illumina],77
GSE70787,Genome-wide methylation profiles in primary intracranial germ cell tumors indicate primordial germ cell origin of germinoma,158
GSE70977,CpG island methylation profile in non-invasive oral rinse samples is predictive of oral and pharyngeal carcinoma,223
GSE71398,Tumor hypoxia causes DNA hypermethylation by reducing TET activity (BeadChip),48
GSE71403,Tumor hypoxia causes DNA hypermethylation by reducing TET activity,99
GSE71626,"A common promoter hypomethylation signature in invasive breast, liver and prostate cancer cell lines reveals novel targets involved in cancer invasiveness (methylation)",17
GSE71627,"A common promoter hypomethylation signature in invasive breast, liver and prostate cancer cell lines reveals novel targets involved in cancer invasiveness",29
GSE71666,Integration analysis of three omics data using penalized regression methods: An application to bladder cancer (Methylation),46
GSE71669,Integration analysis of three omics data using penalized regression methods: An application to bladder cancer,90
GSE71837,"Comparison of the DNA methylation profiles of CD14+ monocytes from human peripheral blood with DCs and MACs obtained by exposure with GM-CSF/IL-4 and GM-CSF, respectively, and with mature DCs and MACs after LPS exposure",15
GSE71841,Genome-wide DNA methylation patterns in CD4+ T from rheumatoid arthritis,24
GSE72110,"DNA methylation and hormone receptor status in breast cancer, the BCCC study",80
GSE72120,Epigenomic profiling of preterm infants reveals DNA methylation differences at sites associated with neural function,72
GSE72245,DNA methylation-based immune response signature improves patient diagnosis in multiple cancers (Cohort 1),118
GSE72251,DNA methylation-based immune response signature improves patient diagnosis in multiple cancers (Cohort 2),119
GSE72254,DNA methylation-based immune response signature improves patient diagnosis in multiple cancers (TOP Cohort),58
GSE72277,DNA methylation profiling to assess pathogenicity of BRCA1 unclassified variants in breast cancer,60
GSE72308,DNA methylation-based immune response signature improves patient diagnosis in multiple cancers,295
