	6-P-1	6-P-10	6-P-11	6-P-12	6-P-13	6-P-14	6-P-15	6-P-16	6-P-17	6-P-18	6-P-19	6-P-2	6-P-20	6-P-21	6-P-22	6-P-23	6-P-24	6-P-25	6-P-26	6-P-27	6-P-28	6-P-29	6-P-3	6-P-30	6-P-4	6-P-5	6-P-6	6-P-7	6-P-8	6-P-9	6-T-1	6-T-2	6-T-3	6-T-4	6-T-5	NC-P-1	NC-P-12	NC-P-13	NC-P-14	NC-P-15	NC-P-16	NC-P-17	NC-P-18	NC-P-19	NC-P-2	NC-P-20	NC-P-21	NC-P-22	NC-P-23	NC-P-24	NC-P-25	NC-P-26	NC-P-27	NC-P-29	NC-P-3	NC-P-30	NC-P-5	NC-P-6	NC-P-7	NC-P-8	NC-P-9	N37-Colon	STL001SG-01	STL003SG-01
chr15:44084452-44084561	NA	NA	1	NA	NA	1	NA	0.955555555555556	NA	NA	NA	NA	NA	0.462249453333045	NA	0.426754850088183	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.583350168350168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	0.00224719101123595	NA
chr8:53853945-53853981	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00833333333333333	NA	NA	NA	NA	NA	NA	NA	NA	1	0.0797619047619048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0406399375670666	0.00650215432824129
chr12:72665509-72665519	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.0416666666666667	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00589970501474926	0.00427350427350427
chr11:20691764-20691822	NA	NA	NA	NA	NA	NA	NA	0.990476190476191	NA	NA	NA	NA	NA	0.5	NA	0.606479446479446	NA	0.5	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.623333333333333	NA	NA	NA	NA	NA	0.00238095238095238	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0111111111111111	NA	0.00303030303030303	NA	NA	NA	NA	NA	NA	NA	NA	0.00388513513513514	0.00350877192982456
chr20:30582954-30582966	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	0.0125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0.0125	NA	NA	NA	0.00434782608695652	0.00869565217391304	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.025	NA	NA	NA	NA	NA	NA	NA	NA	0.00112359550561798	NA
chr17:79315001-79315012	NA	NA	0.5	0.5	NA	1	NA	1	NA	NA	0.5	NA	0.277777777777778	NA	0.575	0.5	0.5	1	0.0555555555555556	0.351851851851852	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.138888888888889	NA	NA	1	0.0555555555555556	NA	NA	0.277777777777778	NA	NA	NA	NA	NA	0.0277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	0.0555555555555556	NA	NA	NA	NA	NA	NA	0.066851431930797	0.0994983852126709
chr11:18813094-18813127	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00793039509342462
chr16:51189971-51189983	NA	NA	NA	0.111111111111111	0.111111111111111	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	1	0.111111111111111	NA	0.111111111111111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00216450216450216	0.0072463768115942
chr9:86595987-86596009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00104166666666667	NA
chr17:66596830-66596851	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00757575757575758
chr3:158289165-158289376	NA	NA	0.806666666666667	NA	NA	1	1	NA	0.912842712842713	NA	1	NA	1	1	NA	NA	NA	0.716350316350316	1	NA	NA	0.910525465819583	0.00416666666666667	NA	0.00246913580246914	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.802619047619048	NA	NA	NA	NA	NA	NA	0.00512820512820513	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0101397773039564
chr10:94834858-94834871	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00847457627118644	NA
chr20:56247297-56247314	NA	NA	1	0.69025974025974	1	0.888888888888889	NA	NA	1	NA	NA	NA	NA	NA	1	0.900779220779221	0.777142857142857	0.0666666666666667	NA	NA	NA	NA	NA	0.777142857142857	0.2175	NA	NA	0.277777777777778	NA	NA	NA	1	0.180200501253133	0.204166666666667	0.705909090909091	0.146363636363636	0.0943627450980392	NA	NA	0.0125	0.137272727272727	NA	NA	NA	0.0285714285714286	NA	NA	0.0125	NA	NA	NA	NA	0.00476190476190476	NA	NA	0.00555555555555555	NA	NA	NA	NA	NA	NA	0.316572326816229	NA
chr2:115419739-115419748	NA	NA	1	1	0.5	1	NA	0.666666666666667	1	0.5	NA	NA	1	0.527777777777778	0.277777777777778	1	1	1	NA	0.25	NA	NA	NA	1	0.0185185185185185	NA	NA	NA	NA	1	NA	NA	0.666666666666667	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	0.0925925925925926	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.098740440845704
chr19:16677175-16677347	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.888888888888889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00303030303030303	NA	NA	0.00740740740740741	NA	NA	NA	NA	NA	NA	NA	NA
chr10:116163340-116163447	NA	NA	1	0.996491228070175	NA	NA	NA	1	NA	NA	NA	NA	NA	0.393054353054353	0.613006253006253	1	NA	0.645137085137085	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00833333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00833333333333333	NA	NA	NA	NA	NA	NA
chr20:55500307-55500319	NA	NA	0.5	0.333333333333333	0.5	NA	NA	0.5	NA	0.0133333333333333	NA	NA	0.5	0.5	NA	0.337777777777778	NA	NA	0.473333333333333	1	0.5	0.5	0.00666666666666667	0.5	NA	0.00666666666666667	NA	NA	NA	NA	1	0.0133333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.03	NA	0.0862962962962963	NA
chr9:71321126-71321294	NA	NA	0.0658730158730159	0.0111111111111111	0.0111111111111111	0.147142857142857	1	0.399147869674185	0.980952380952381	0.652051282051282	NA	NA	0.125	0.833333333333333	0.895238095238095	0.776784696784697	0.993333333333333	0.65963232561698	1	0.870995670995671	NA	1	NA	0.967619047619048	NA	NA	NA	NA	NA	NA	NA	0.891601731601732	NA	NA	NA	NA	0.00266666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0277777777777778	NA	NA	NA	NA	NA
chr3:137486988-137487051	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0133333333333333	0.00666666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00317460317460317
chr1:149287075-149287095	NA	NA	NA	0.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0037037037037037	NA
chr9:2017883-2018031	NA	NA	1	NA	NA	NA	1	NA	NA	1	NA	NA	NA	0.222857142857143	1	0.5	NA	NA	NA	0.444934324934325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.613571428571429	NA	NA	NA	0.00512820512820513	NA	NA	NA	NA	0.00256410256410256	NA	NA	NA	NA	0.00266666666666667	NA	0.0037037037037037	0.00303030303030303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00350877192982456	NA
chr16:10277279-10277306	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	1	1	NA	1	NA	NA	NA	NA	0.0125	NA	NA	NA	0.0125	NA	NA	NA	0.255555555555556	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00769230769230769	NA	NA	NA	NA	NA	0.025	NA	NA	0.0181818181818182	NA	0.00476190476190476
chr17:13504776-13504796	NA	NA	NA	1	0.5	0.5	NA	0.5	NA	1	NA	NA	NA	0.666666666666667	0.5	0.5	1	0.666666666666667	0.445833333333333	0.5	NA	0.177777777777778	NA	NA	NA	NA	NA	NA	0.0208333333333333	NA	NA	0.0185185185185185	0.5	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00354609929078014	0.0870937573065233
chr15:90358208-90358238	NA	NA	0.888888888888889	0.317460317460317	1	0.5	NA	0.0833333333333333	1	NA	0.5	NA	NA	0.158730158730159	0.111111111111111	0.888888888888889	0.0416666666666667	NA	NA	0.466666666666667	NA	NA	NA	0.466666666666667	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0104166666666667	NA
chr12:69080771-69081030	NA	0.00740740740740741	0.00666666666666667	NA	0.481164021164021	1	1	0.777142857142857	NA	1	0.14	NA	1	1	0.55999491482329	0.924498906666089	1	1	1	NA	1	0.5	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.992592592592593	NA	NA	NA	NA	NA	NA	NA	0.00289855072463768	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000980392156862745	NA	0.00256410256410256	NA	NA	NA	NA	NA	NA	NA	0.00303030303030303	0.00170940170940171
chr2:45232449-45232492	NA	NA	0.365079365079365	NA	1	1	1	NA	1	0.166666666666667	1	NA	NA	1	1	0.466666666666667	0.166666666666667	0.130952380952381	0.888888888888889	NA	NA	NA	NA	1	0.166666666666667	NA	NA	NA	NA	NA	NA	1	0.111111111111111	NA	NA	NA	0.0416666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0833333333333333	NA	NA	NA	NA	NA	0.0366666666666667
chr18:76828737-76828762	NA	0.00833333333333333	0.358333333333333	1	NA	NA	NA	0.116666666666667	0.358333333333333	NA	0.025	NA	NA	NA	1	1	NA	NA	NA	1	NA	1	NA	1	NA	0.5	NA	NA	NA	NA	0.5	NA	0.520801551389787	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0935885167464115
chr1:107682941-107683014	NA	NA	0.744338624338624	0.756868686868687	0.744338624338624	NA	0.954285714285714	0.5	NA	NA	1	NA	NA	NA	1	0.744338624338624	0.0133333333333333	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.70505354294828	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00229885057471264	NA
chr6:292625-292641	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.343333333333333	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.141666666666667	NA	NA	0.025	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.116666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr3:30936252-30936256	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr19:45655894-45655969	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.585660415485842	0.00114942528735632	0.00444444444444444	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.772778332778333	NA	NA	0.0351190476190476	NA	NA	0.00833333333333333	NA	0.0482142857142857	0.00784313725490196	NA	NA	NA	0.00555555555555555	0.00416666666666667	NA	NA	0.0191452991452991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr5:71404181-71404192	NA	NA	0.5	NA	NA	NA	NA	0.5	NA	NA	NA	NA	NA	0.763888888888889	NA	1	NA	1	0.5	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.638888888888889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0138888888888889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0795659862376504
chr7:1126795-1126839	NA	NA	NA	NA	1	1	0.837857142857143	NA	NA	1	1	NA	0.0485714285714286	0.570833333333333	NA	0.5	NA	1	1	1	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr14:85998220-85998232	NA	NA	1	NA	NA	0.958333333333333	NA	0.5	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	0.00411522633744856	NA
chr20:644873-644882	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.025	1	0.333333333333333	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.527777777777778	NA	1	NA	0.0125	NA	NA	NA	NA	NA	NA	0.025	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.179166666666667	NA	NA	0.025	NA	NA	NA	NA	NA	NA	NA	0.00943396226415094	NA
chr9:100611170-100611360	NA	NA	NA	NA	0.406056166056166	0.666666666666667	0.961111111111111	NA	NA	1	0.195	NA	NA	NA	NA	NA	NA	1	NA	1	NA	1	NA	1	NA	NA	NA	NA	NA	0.00476190476190476	1	NA	0.255661375661376	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00555555555555555	NA	NA	NA	NA	NA	NA	0.0123467730025107	NA
chr18:11149521-11149530	NA	NA	0.177777777777778	0.177777777777778	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.124242424242424
chr1:208084431-208084455	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.666666666666667	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00205128205128205	NA
chr1:229567866-229567911	NA	NA	NA	1	0.634920634920635	0.025	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	0.466666666666667	NA	NA	NA	0.0833333333333333	NA	NA	NA	NA	NA	NA	NA	0.0452991452991453	0.111111111111111	NA	0.554166666666667	1	NA	NA	NA	NA	NA	0.0833333333333333	NA	0.0119047619047619	NA	NA	NA	NA	0.0666666666666667	0.00833333333333333	0.0361552028218695	0.0111111111111111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00740740740740741	NA
chr5:158532220-158532239	0.166666666666667	0.0833333333333333	1	NA	NA	0.277777777777778	NA	NA	0.244444444444444	NA	NA	0.445833333333333	1	NA	NA	NA	0.351851851851852	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0459236326109391
chr17:59482693-59482699	NA	NA	0.194444444444444	0.122222222222222	NA	1	0.177777777777778	0.0416666666666667	0.222222222222222	0.177777777777778	0.211111111111111	NA	NA	0.0416666666666667	1	0.177777777777778	0.154761904761905	0.261904761904762	1	0.511904761904762	0.0416666666666667	0.177777777777778	0.0238095238095238	NA	NA	NA	NA	0.0185185185185185	NA	NA	0.177777777777778	0.744444444444444	NA	0.692640692640693	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	0.0416666666666667	0.0416666666666667	NA	0.0277777777777778	NA	NA	0.0856863087473509	NA
chr18:55108538-55108556	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr20:30619309-30619350	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.666666666666667	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00196078431372549	NA
chr13:95359788-95359794	NA	NA	0.666666666666667	1	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	NA	NA	NA	NA	0.0277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0765873015873016	NA
chr19:4597703-4597822	NA	NA	NA	1	NA	NA	0.933333333333333	NA	1	1	NA	NA	NA	NA	1	NA	1	NA	NA	0.958333333333333	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0208333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2:11894209-11894282	0.0555555555555556	NA	0.511904761904762	1	NA	NA	NA	1	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0216779279279279
chr19:13124914-13125000	NA	NA	NA	NA	0.562765567765568	NA	NA	NA	NA	NA	NA	0.0111111111111111	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0111111111111111	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00416666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr19:58220189-58220207	0.0416666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0111111111111111	NA	0.0185185185185185	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2:224808853-224808889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.016468253968254
chr3:35681231-35681298	NA	NA	1	1	NA	NA	NA	1	0.0156862745098039	1	1	NA	0.579372294372294	1	0.0111111111111111	NA	1	NA	0.5	0.0111111111111111	1	1	NA	NA	NA	NA	NA	NA	NA	NA	0.958333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0133333333333333	NA	NA	0.00555555555555555	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00454545454545455
chr16:56224765-56224781	NA	NA	NA	NA	1	NA	NA	0.05	NA	NA	NA	NA	NA	1	NA	1	1	0.222857142857143	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.025	NA	NA	NA	NA	NA	NA	NA	0.00153846153846154	0.0099639855942377
chr7:155251344-155251365	NA	NA	0.025	0.6	NA	NA	NA	0.333333333333333	1	1	0.5	NA	NA	0.5	0.5125	0.5	0.666666666666667	0.6	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.75	NA	NA	NA	NA	0.0166666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00833333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr4:30724207-30724213	NA	NA	NA	0.5	1	NA	NA	NA	NA	1	NA	NA	NA	1	0.351851851851852	NA	0.142857142857143	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	0.0185185185185185	NA	NA	0.685185185185185	NA	NA	NA	NA	NA	NA	NA	NA	0.037037037037037	NA	0.0277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00823045267489712	NA
chr10:119295008-119295038	NA	NA	NA	NA	0.5	NA	1	NA	1	0.656125356125356	1	NA	NA	NA	NA	0.954285714285714	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0111111111111111	NA	NA	1	NA	NA	0.012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00579710144927536	0.0133333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr4:44680203-44680376	NA	NA	1	1	NA	1	NA	0.822222222222222	NA	1	NA	NA	1	0.944444444444444	1	0.237142857142857	NA	1	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00303030303030303	NA
chr11:17741832-17741837	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	0.411111111111111	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.425925925925926	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00444444444444444	0.109859625668449
chr1:77333111-77333121	NA	NA	NA	NA	NA	0.666666666666667	NA	0.5	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0040650406504065	NA
chr12:42983202-42983220	NA	NA	0.25	0.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0125	0.025	NA	NA	NA	0.333333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.00526315789473684	NA	0.769423558897243	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00175438596491228	0.00238095238095238
